2016-04-23_00:00:44 1461362444 0x9, A 638 2.11 2.00-0.41
2016-04-23_00:02:44 1461362564 0x9, A 639 2.07 2.12 0.13
2016-04-23_00:04:43 1461362683 0x9, 1 638 1.76 2.35 2.07
2016-04-23_00:04:44 1461362684 0x9, 2 638 1.52 2.35 3.11
2016-04-23_00:04:44 1461362684 0x9, A 640 2.35 2.35-0.00
2016-04-23_00:04:47 1461362687 0x9, 5 638 2.07 2.64 1.68
2016-04-23_00:04:48 1461362688 0x9, 6 638 2.24 2.07-0.52
2016-04-23_00:06:43 1461362803 0x9, 1 639 1.52 2.31 2.99
2016-04-23_00:06:44 1461362804 0x9, 2 639 1.91 2.31 1.34
2016-04-23_00:06:44 1461362804 0x9, A 641 1.48 2.31 3.18
2016-04-23_00:06:47 1461362807 0x9, 5 639 2.00 2.16 0.54
2016-04-23_00:06:48 1461362808 0x9, 6 639 1.84 3.44 4.43
2016-04-23_00:08:43 1461362923 0x9, 1 640 1.60 2.44 2.98
2016-04-23_00:08:44 1461362924 0x9, 2 640 1.76 1.91 0.61
2016-04-23_00:08:44 1461362924 0x9, A 642 1.67 1.91 0.94
2016-04-23_00:08:47 1461362927 0x9, 5 640 2.20 3.35 2.99
2016-04-23_00:08:48 1461362928 0x9, 6 640 2.00 2.40 1.29
2016-04-23_00:10:43 1461363043 0x9, 1 641 1.64 2.55 3.15
2016-04-23_00:10:44 1461363044 0x9, 2 641 1.55 2.68 3.83
2016-04-23_00:10:47 1461363047 0x9, 5 641 2.16 2.59 1.31
2016-04-23_00:10:48 1461363048 0x9, 6 641 1.96 1.67-1.09
2016-04-23_00:12:43 1461363163 0x9, 1 642 1.48 2.24 2.93
2016-04-23_00:12:44 1461363164 0x9, 2 642 1.55 2.20 2.43
2016-04-23_00:12:44 1461363164 0x9, A 644 2.59 2.19-1.18
2016-04-23_00:12:47 1461363167 0x9, 5 642 2.00 1.79-0.74
2016-04-23_00:12:48 1461363168 0x9, 6 642 1.76 2.24 1.70
2016-04-23_00:14:43 1461363283 0x9, 1 643 1.36 2.24 3.53
2016-04-23_00:14:44 1461363284 0x9, 2 643 1.44 2.03 2.46
2016-04-23_00:14:44 1461363284 0x9, A 645 1.72 2.12 1.48
2016-04-23_00:14:47 1461363287 0x9, 5 643 1.96 1.96 0.00
2016-04-23_00:14:48 1461363288 0x9, 6 643 2.00 2.79 2.38
2016-04-23_00:16:43 1461363403 0x9, 1 644 1.64 2.64 3.37
2016-04-23_00:16:44 1461363404 0x9, 2 644 1.64 2.83 3.88
2016-04-23_00:16:44 1461363404 0x9, A 646 1.88 2.83 2.92
2016-04-23_00:16:47 1461363407 0x9, 5 644 1.91 2.55 2.03
2016-04-23_00:16:48 1461363408 0x9, 6 644 2.11 2.44 0.99
2016-04-23_00:18:43 1461363523 0x9, 1 645 1.60 2.27 2.50
2016-04-23_00:18:44 1461363524 0x9, 2 645 1.55 2.24 2.56
2016-04-23_00:18:44 1461363524 0x9, A 647 2.20 2.23 0.12
2016-04-23_00:18:47 1461363527 0x9, 5 645 1.96 2.72 2.32
2016-04-23_00:18:48 1461363528 0x9, 6 645 2.24 2.00-0.80
2016-04-23_00:20:43 1461363643 0x9, 1 646 1.79 2.16 1.29
2016-04-23_00:20:44 1461363644 0x9, 2 646 1.72 1.88 0.62
2016-04-23_00:20:44 1461363644 0x9, A 648 1.96 1.87-0.29
2016-04-23_00:20:47 1461363647 0x9, 5 646 1.96 2.44 1.55
2016-04-23_00:20:48 1461363648 0x9, 6 646 1.91 2.16 0.83
2016-04-23_00:22:43 1461363763 0x9, 1 647 1.12 2.40 5.39
2016-04-23_00:22:44 1461363764 0x9, 2 647 1.64 2.52 3.04
2016-04-23_00:22:47 1461363767 0x9, 5 647 2.00 2.59 1.85
2016-04-23_00:22:48 1461363768 0x9, 6 647 2.20 2.07-0.39
2016-04-23_00:24:43 1461363883 0x9, 1 648 1.12 1.52 2.16
2016-04-23_00:24:44 1461363884 0x9, 2 648 1.55 1.52-0.18
2016-04-23_00:24:47 1461363887 0x9, 5 648 2.11 2.11 0.00
2016-04-23_00:24:48 1461363888 0x9, 6 648 1.88 2.48 1.96
2016-04-23_00:26:43 1461364003 0x9, 1 649 1.79 2.52 2.38
2016-04-23_00:26:44 1461364004 0x9, 2 649 1.72 1.96 0.92
2016-04-23_00:26:47 1461364007 0x9, 5 649 1.84 2.31 1.64
2016-04-23_00:26:48 1461364008 0x9, 6 649 1.36 2.27 3.65
2016-04-23_00:28:43 1461364123 0x9, 1 650 1.84 1.67-0.64
2016-04-23_00:28:44 1461364124 0x9, 2 650 1.67 2.24 2.03
2016-04-23_00:28:47 1461364127 0x9, 5 650 2.11 2.07-0.13
2016-04-23_00:28:48 1461364128 0x9, 6 650 1.88 2.35 1.61
2016-04-23_00:30:43 1461364243 0x9, 1 651 1.52 2.16 2.48
2016-04-23_00:30:44 1461364244 0x9, 2 651 1.64 2.35 2.57
2016-04-23_00:30:47 1461364247 0x9, 5 651 1.96 2.35 1.31
2016-04-23_00:30:48 1461364248 0x9, 6 651 1.64 2.55 3.15
2016-04-23_00:32:43 1461364363 0x9, 1 652 1.60 2.55 3.32
2016-04-23_00:32:44 1461364364 0x9, 2 652 1.39 2.76 4.80
2016-04-23_00:32:47 1461364367 0x9, 5 652 2.03 2.44 1.26
2016-04-23_00:32:48 1461364368 0x9, 6 652 2.07 2.76 2.00
2016-04-23_00:34:43 1461364483 0x9, 1 653 1.32 2.00 2.94
2016-04-23_00:34:44 1461364484 0x9, 2 653 1.52 2.44 3.35
2016-04-23_00:34:47 1461364487 0x9, 5 653 1.79 2.03 0.88
2016-04-23_00:34:48 1461364488 0x9, 6 653 2.03 2.31 0.91
2016-04-23_00:36:43 1461364603 0x9, 1 654 1.60 2.24 2.38
2016-04-23_00:36:44 1461364604 0x9, 2 654 2.52 1.88-2.07
2016-04-23_00:36:47 1461364607 0x9, 5 654 1.60 2.16 2.12
2016-04-23_00:36:48 1461364608 0x9, 6 654 1.76 2.35 2.07
2016-04-23_00:22:57 1461363777 0x9, 1 1 1.67 2.11 1.64
2016-04-23_00:22:58 1461363778 0x9, 2 1 2.27 2.55 0.82
2016-04-23_00:23:01 1461363781 0x9, 5 1 2.20 2.64 1.29
2016-04-23_00:23:09 1461363789 0x9, 6 1 2.03 2.83 2.34
2016-04-23_00:24:57 1461363897 0x9, 1 2 1.60 1.84 0.98
2016-04-23_00:24:58 1461363898 0x9, 2 2 2.07 2.20 0.39
2016-04-23_00:25:08 1461363908 0x9, 6 2 2.20 2.31 0.37
2016-04-23_02:49:36 1461372576 0x9, 1 3 2.16 2.27 0.38
2016-04-23_02:49:37 1461372577 0x9, 2 3 1.72 2.07 1.34
2016-04-23_02:49:47 1461372587 0x9, 6 3 1.67 2.40 2.52
2016-04-23_02:51:36 1461372696 0x9, 1 4 1.84 2.88 3.17
2016-04-23_02:51:37 1461372697 0x9, 2 4 1.60 2.20 2.25
2016-04-23_02:51:40 1461372700 0x9, 5 4 2.44 2.03-1.26
2016-04-23_02:51:41 1461372701 0x9, 6 4 2.27 1.64-2.33
2016-04-23_02:53:36 1461372816 0x9, 1 5 1.60 1.84 0.98
2016-04-23_02:53:37 1461372817 0x9, 2 5 1.96 2.55 1.89
2016-04-23_02:53:40 1461372820 0x9, 5 5 2.00 2.07 0.27
2016-04-23_02:53:41 1461372821 0x9, 6 5 2.00 1.64-1.40
2016-04-23_02:54:58 1461372898 0x9, A 5 2.27 2.19-0.25
2016-04-23_02:55:36 1461372936 0x9, 1 6 2.11 2.07-0.13
2016-04-23_02:55:37 1461372937 0x9, 2 6 1.72 2.40 2.35
2016-04-23_02:55:40 1461372940 0x9, 5 6 1.88 2.24 1.24
2016-04-23_02:55:41 1461372941 0x9, 6 6 1.64 2.79 3.78
2016-04-23_02:56:58 1461373018 0x9, A 6 1.55 2.39 3.05
2016-04-23_02:57:36 1461373056 0x9, 1 7 1.67 2.44 2.64
2016-04-23_02:57:37 1461373057 0x9, 2 7 1.44 2.24 3.12
2016-04-23_02:57:40 1461373060 0x9, 5 7 1.96 1.76-0.76
2016-04-23_02:57:41 1461373061 0x9, 6 7 2.20 2.03-0.53
2016-04-23_02:58:58 1461373138 0x9, A 7 1.91 2.23 1.09
2016-04-23_02:59:36 1461373176 0x9, 1 8 1.84 2.44 1.99
2016-04-23_02:59:37 1461373177 0x9, 2 8 1.52 2.16 2.48
2016-04-23_02:59:40 1461373180 0x9, 5 8 2.24 2.03-0.66
2016-04-23_02:59:41 1461373181 0x9, 6 8 1.88 2.31 1.48
2016-04-23_03:00:58 1461373258 0x9, A 8 2.11 2.63 1.55
2016-04-23_03:01:36 1461373296 0x9, 1 9 1.88 2.35 1.61
2016-04-23_03:01:37 1461373297 0x9, 2 9 1.60 2.64 3.54
2016-04-23_03:01:40 1461373300 0x9, 5 9 1.91 2.24 1.09
2016-04-23_03:01:41 1461373301 0x9, 6 9 2.03 2.35 1.03
2016-04-23_03:02:58 1461373378 0x9, A 9 1.64 2.31 2.45
2016-04-23_03:03:36 1461373416 0x9, 1 10 1.91 2.40 1.58
2016-04-23_03:03:37 1461373417 0x9, 2 10 1.39 2.68 4.59
2016-04-23_03:03:40 1461373420 0x9, 5 10 1.76 2.03 1.04
2016-04-23_03:03:41 1461373421 0x9, 6 10 1.91 2.31 1.34
2016-04-23_03:04:58 1461373498 0x9, A 10 1.64 1.87 0.96
2016-04-23_03:05:36 1461373536 0x9, 1 11 2.20 2.16-0.12
2016-04-23_03:05:37 1461373537 0x9, 2 11 2.07 1.88-0.71
2016-04-23_03:05:40 1461373540 0x9, 5 11 1.91 2.20 0.96
2016-04-23_03:05:41 1461373541 0x9, 6 11 1.96 1.96 0.00
2016-04-23_03:06:58 1461373618 0x9, A 11 1.91 2.35 1.46
