2016-04-25_00:00:47 1461535247 0x9, A 638 1.67 2.31 2.28
2016-04-25_00:00:55 1461535255 0x9, 1 636 1.39 2.64 4.49
2016-04-25_00:00:56 1461535256 0x9, 2 636 1.76 2.24 1.70
2016-04-25_00:00:59 1461535259 0x9, 5 636 2.40 2.76 0.98
2016-04-25_00:01:01 1461535261 0x9, 6 636 1.52 2.07 2.22
2016-04-25_00:02:47 1461535367 0x9, A 639 1.72 2.31 2.11
2016-04-25_00:02:55 1461535375 0x9, 1 637 1.88 2.44 1.84
2016-04-25_00:02:56 1461535376 0x9, 2 637 2.27 2.35 0.24
2016-04-25_00:02:59 1461535379 0x9, 5 637 1.96 3.00 3.01
2016-04-25_00:03:00 1461535380 0x9, 6 637 1.88 2.31 1.48
2016-04-25_00:04:47 1461535487 0x9, A 640 1.88 2.51 2.07
2016-04-25_00:04:55 1461535495 0x9, 1 638 1.64 3.00 4.27
2016-04-25_00:04:56 1461535496 0x9, 2 638 1.55 2.11 2.17
2016-04-25_00:04:59 1461535499 0x9, 5 638 2.24 2.31 0.24
2016-04-25_00:05:00 1461535500 0x9, 6 638 2.35 2.52 0.46
2016-04-25_00:06:47 1461535607 0x9, A 641 2.16 2.31 0.50
2016-04-25_00:06:55 1461535615 0x9, 1 639 1.60 3.16 4.81
2016-04-25_00:06:56 1461535616 0x9, 2 639 1.36 2.40 4.02
2016-04-25_00:06:59 1461535619 0x9, 5 639 2.03 2.88 2.44
2016-04-25_00:07:01 1461535621 0x9, 6 639 2.24 2.68 1.26
2016-04-25_00:08:47 1461535727 0x9, A 642 1.64 2.47 2.92
2016-04-25_00:08:55 1461535735 0x9, 1 640 1.48 2.27 3.05
2016-04-25_00:08:56 1461535736 0x9, 2 640 1.44 2.20 3.00
2016-04-25_00:08:59 1461535739 0x9, 5 640 1.55 2.68 3.83
2016-04-25_00:09:01 1461535741 0x9, 6 640 2.00 2.44 1.40
2016-04-25_00:10:47 1461535847 0x9, A 643 2.31 2.51 0.58
2016-04-25_00:10:55 1461535855 0x9, 1 641 1.72 2.27 1.99
2016-04-25_00:10:56 1461535856 0x9, 2 641 1.39 2.20 3.20
2016-04-25_00:10:59 1461535859 0x9, 5 641 2.16 1.96-0.68
2016-04-25_00:11:01 1461535861 0x9, 6 641 1.76 2.79 3.28
2016-04-25_00:12:47 1461535967 0x9, A 644 1.55 2.47 3.28
2016-04-25_00:12:55 1461535975 0x9, 1 642 1.55 2.03 1.89
2016-04-25_00:12:56 1461535976 0x9, 2 642 1.72 2.83 3.55
2016-04-25_00:12:59 1461535979 0x9, 5 642 1.76 3.68 5.22
2016-04-25_00:13:00 1461535980 0x9, 6 642 2.52 3.55 2.44
2016-04-25_00:14:47 1461536087 0x9, A 645 1.88 2.19 1.11
2016-04-25_00:14:55 1461536095 0x9, 1 643 1.72 2.20 1.74
2016-04-25_00:14:56 1461536096 0x9, 2 643 1.39 3.24 5.94
2016-04-25_00:14:59 1461536099 0x9, 5 643 2.07 2.79 2.10
2016-04-25_00:15:01 1461536101 0x9, 6 643 1.48 2.07 2.40
2016-04-25_00:16:47 1461536207 0x9, A 646 1.76 2.67 2.97
2016-04-25_00:16:55 1461536215 0x9, 1 644 1.60 2.55 3.32
2016-04-25_00:16:56 1461536216 0x9, 2 644 1.76 2.31 1.95
2016-04-25_00:16:59 1461536219 0x9, 5 644 1.79 2.35 1.91
2016-04-25_00:17:00 1461536220 0x9, 6 644 1.67 2.31 2.28
2016-04-25_00:18:47 1461536327 0x9, A 647 1.79 2.47 2.26
2016-04-25_00:18:55 1461536335 0x9, 1 645 1.44 2.79 4.70
2016-04-25_00:18:56 1461536336 0x9, 2 645 1.24 2.64 5.35
2016-04-25_00:18:59 1461536339 0x9, 5 645 1.96 2.16 0.68
2016-04-25_00:19:01 1461536341 0x9, 6 645 1.96 2.52 1.77
2016-04-25_00:20:47 1461536447 0x9, A 648 1.91 2.56 2.03
2016-04-25_00:20:55 1461536455 0x9, 1 646 1.64 2.68 3.47
2016-04-25_00:20:56 1461536456 0x9, 2 646 1.36 2.79 5.11
2016-04-25_00:20:59 1461536459 0x9, 5 646 1.84 2.20 1.26
2016-04-25_00:21:01 1461536461 0x9, 6 646 2.35 2.76 1.10
2016-04-25_00:22:55 1461536575 0x9, 1 647 1.76 2.24 1.70
2016-04-25_00:22:56 1461536576 0x9, 2 647 1.76 2.52 2.54
2016-04-25_00:22:59 1461536579 0x9, 5 647 2.11 3.24 3.00
2016-04-25_00:23:01 1461536581 0x9, 6 647 1.55 2.59 3.61
2016-04-25_00:24:55 1461536695 0x9, 1 648 1.79 2.44 2.15
2016-04-25_00:24:56 1461536696 0x9, 2 648 1.52 2.27 2.87
2016-04-25_00:24:59 1461536699 0x9, 5 648 2.07 2.83 2.20
2016-04-25_00:25:00 1461536700 0x9, 6 648 1.96 2.00 0.14
2016-04-25_00:26:55 1461536815 0x9, 1 649 1.44 2.40 3.61
2016-04-25_00:26:56 1461536816 0x9, 2 649 1.55 2.35 2.93
2016-04-25_00:26:59 1461536819 0x9, 5 649 2.03 2.40 1.15
2016-04-25_00:27:00 1461536820 0x9, 6 649 2.03 2.07 0.13
2016-04-25_00:28:55 1461536935 0x9, 1 650 1.64 2.31 2.45
2016-04-25_00:28:56 1461536936 0x9, 2 650 1.44 2.20 3.00
2016-04-25_00:28:59 1461536939 0x9, 5 650 2.03 1.67-1.37
2016-04-25_00:29:01 1461536941 0x9, 6 650 1.79 2.40 2.03
2016-04-25_00:30:55 1461537055 0x9, 1 651 1.64 2.64 3.37
2016-04-25_00:30:56 1461537056 0x9, 2 651 1.39 2.24 3.32
2016-04-25_00:30:59 1461537059 0x9, 5 651 2.16 2.11-0.13
2016-04-25_00:31:01 1461537061 0x9, 6 651 1.67 1.72 0.16
2016-04-25_00:32:55 1461537175 0x9, 1 652 2.07 2.03-0.13
2016-04-25_00:32:56 1461537176 0x9, 2 652 1.20 2.40 4.90
2016-04-25_00:32:59 1461537179 0x9, 5 652 2.07 2.88 2.30
2016-04-25_00:33:00 1461537180 0x9, 6 652 2.03 2.40 1.15
2016-04-25_00:34:55 1461537295 0x9, 1 653 1.72 2.07 1.34
2016-04-25_00:34:56 1461537296 0x9, 2 653 1.27 2.59 5.01
2016-04-25_00:34:59 1461537299 0x9, 5 653 1.91 1.67-0.94
2016-04-25_00:35:01 1461537301 0x9, 6 653 2.03 2.48 1.38
2016-04-25_00:36:55 1461537415 0x9, 1 654 1.52 1.79 1.19
2016-04-25_00:36:56 1461537416 0x9, 2 654 1.52 2.44 3.35
2016-04-25_00:36:59 1461537419 0x9, 5 654 2.00 2.07 0.27
2016-04-25_00:37:00 1461537420 0x9, 6 654 1.76 2.40 2.19
2016-04-25_00:38:55 1461537535 0x9, 1 655 1.91 2.27 1.21
2016-04-25_00:38:56 1461537536 0x9, 2 655 1.44 2.20 3.00
2016-04-25_00:38:59 1461537539 0x9, 5 655 2.20 2.11-0.26
2016-04-25_00:39:01 1461537541 0x9, 6 655 1.76 2.16 1.45
2016-04-25_00:22:58 1461536578 0x9, 1 1 1.39 2.27 3.45
2016-04-25_00:22:59 1461536579 0x9, 2 1 1.60 2.03 1.72
2016-04-25_00:23:09 1461536589 0x9, 5 1 2.44 1.60-2.98
2016-04-25_00:23:09 1461536589 0x9, 6 1 2.20 1.88-1.11
2016-04-25_00:24:58 1461536698 0x9, 1 2 2.07 2.00-0.27
2016-04-25_00:24:59 1461536699 0x9, 2 2 1.39 2.24 3.32
2016-04-25_00:25:02 1461536702 0x9, 5 2 2.24 1.96-0.94
2016-04-25_00:25:09 1461536709 0x9, 6 2 1.96 2.03 0.28
2016-04-25_00:26:58 1461536818 0x9, 1 3 2.55 2.11-1.33
2016-04-25_00:26:59 1461536819 0x9, 2 3 1.91 1.76-0.61
2016-04-25_00:27:02 1461536822 0x9, 5 3 2.35 2.16-0.62
2016-04-25_00:27:09 1461536829 0x9, 6 3 2.20 2.27 0.25
2016-04-25_02:51:20 1461545480 0x9, 1 4 1.55 2.31 2.81
2016-04-25_02:51:21 1461545481 0x9, 2 4 1.88 2.59 2.29
2016-04-25_02:51:31 1461545491 0x9, 6 4 1.76 2.11 1.31
2016-04-25_02:53:20 1461545600 0x9, 1 5 1.76 2.20 1.58
2016-04-25_02:53:21 1461545601 0x9, 2 5 2.48 1.79-2.26
