2016-04-30_02:36:04 1461976564 0x9, 1 1 1.88 2.55 2.18
2016-04-30_02:36:05 1461976565 0x9, 2 1 1.72 2.20 1.74
2016-04-30_02:36:08 1461976568 0x9, 5 1 2.03 2.68 1.93
2016-04-30_02:36:09 1461976569 0x9, 6 1 1.67 3.24 4.65
2016-04-30_02:38:04 1461976684 0x9, 1 2 1.64 2.40 2.69
2016-04-30_02:38:05 1461976685 0x9, 2 2 1.12 2.27 5.03
2016-04-30_02:38:08 1461976688 0x9, 5 2 2.20 1.76-1.58
2016-04-30_02:38:09 1461976689 0x9, 6 2 1.91 2.31 1.34
2016-04-30_02:49:42 1461977382 0x9, 1 3 1.48 2.35 3.30
2016-04-30_02:49:43 1461977383 0x9, 2 3 2.03 2.16 0.40
2016-04-30_02:49:46 1461977386 0x9, 5 3 2.48 2.24-0.72
2016-04-30_02:49:47 1461977387 0x9, 6 3 1.72 2.11 1.48
2016-04-30_02:51:42 1461977502 0x9, 1 4 2.00 2.40 1.29
2016-04-30_02:51:43 1461977503 0x9, 2 4 1.60 2.40 2.87
2016-04-30_02:51:46 1461977506 0x9, 5 4 1.91 2.52 1.92
2016-04-30_02:51:47 1461977507 0x9, 6 4 2.11 2.52 1.22
2016-04-30_02:53:42 1461977622 0x9, 1 5 1.67 2.88 3.81
2016-04-30_02:53:43 1461977623 0x9, 2 5 2.16 2.35 0.62
2016-04-30_02:53:46 1461977626 0x9, 5 5 2.00 2.11 0.41
2016-04-30_02:53:47 1461977627 0x9, 6 5 2.52 2.48-0.11
2016-04-30_02:55:06 1461977706 0x9, A 5 1.39 2.39 3.81
2016-04-30_02:55:42 1461977742 0x9, 1 6 1.48 2.40 3.42
2016-04-30_02:55:43 1461977743 0x9, 2 6 1.84 2.27 1.51
2016-04-30_02:55:46 1461977746 0x9, 5 6 1.84 2.24 1.39
2016-04-30_02:55:47 1461977747 0x9, 6 6 1.84 2.31 1.64
2016-04-30_02:57:06 1461977826 0x9, A 6 1.72 2.59 2.92
2016-04-30_02:57:42 1461977862 0x9, 1 7 1.39 2.00 2.52
2016-04-30_02:57:43 1461977863 0x9, 2 7 2.03 2.48 1.38
2016-04-30_02:57:46 1461977866 0x9, 5 7 2.03 2.35 1.03
2016-04-30_02:57:47 1461977867 0x9, 6 7 1.84 1.88 0.15
2016-04-30_02:59:06 1461977946 0x9, A 7 1.84 2.15 1.13
2016-04-30_03:01:06 1461978066 0x9, A 8 1.60 2.39 2.87
2016-04-30_03:03:06 1461978186 0x9, A 9 1.91 2.31 1.33
2016-04-30_03:05:06 1461978306 0x9, A 10 1.72 2.12 1.48
2016-04-30_03:05:10 1461978310 0x9, 1 11 1.60 2.11 1.99
2016-04-30_03:05:11 1461978311 0x9, 2 11 1.88 2.24 1.24
2016-04-30_03:05:14 1461978314 0x9, 5 11 1.91 2.72 2.46
2016-04-30_03:05:15 1461978315 0x9, 6 11 1.36 2.27 3.65
2016-04-30_03:07:06 1461978426 0x9, A 11 1.91 1.91-0.00
2016-04-30_03:07:10 1461978430 0x9, 1 12 1.48 2.31 3.18
2016-04-30_03:07:11 1461978431 0x9, 2 12 1.55 2.03 1.89
2016-04-30_03:07:14 1461978434 0x9, 5 12 2.11 2.20 0.26
2016-04-30_03:07:15 1461978435 0x9, 6 12 1.48 2.59 3.98
2016-04-30_03:09:06 1461978546 0x9, A 12 2.20 2.56 1.07
2016-04-30_03:09:10 1461978550 0x9, 1 13 1.44 2.59 4.18
2016-04-30_03:09:11 1461978551 0x9, 2 13 1.24 2.16 3.92
2016-04-30_03:09:14 1461978554 0x9, 5 13 2.24 2.27 0.12
2016-04-30_03:09:15 1461978555 0x9, 6 13 1.67 2.11 1.64
2016-04-30_03:11:06 1461978666 0x9, A 13 1.96 2.44 1.55
2016-04-30_03:11:10 1461978670 0x9, 1 14 1.64 2.79 3.78
2016-04-30_03:11:11 1461978671 0x9, 2 14 1.55 2.44 3.16
2016-04-30_03:11:14 1461978674 0x9, 5 14 2.68 2.24-1.26
2016-04-30_03:11:15 1461978675 0x9, 6 14 1.91 2.68 2.36
2016-04-30_03:13:06 1461978786 0x9, A 14 1.91 2.15 0.83
2016-04-30_03:13:10 1461978790 0x9, 1 15 1.55 2.35 2.93
2016-04-30_03:13:11 1461978791 0x9, 2 15 1.36 2.20 3.40
2016-04-30_03:13:14 1461978794 0x9, 5 15 2.44 2.48 0.11
2016-04-30_03:13:15 1461978795 0x9, 6 15 1.67 2.48 2.75
2016-04-30_03:15:06 1461978906 0x9, A 15 1.84 2.00 0.59
2016-04-30_03:15:10 1461978910 0x9, 1 16 1.52 2.31 2.99
2016-04-30_03:15:11 1461978911 0x9, 2 16 1.55 1.91 1.47
2016-04-30_03:15:14 1461978914 0x9, 5 16 2.07 2.20 0.39
2016-04-30_03:15:15 1461978915 0x9, 6 16 1.15 2.03 3.99
2016-04-30_03:17:06 1461979026 0x9, A 16 1.24 2.51 5.02
2016-04-30_03:17:10 1461979030 0x9, 1 17 1.60 2.48 3.10
2016-04-30_03:17:11 1461979031 0x9, 2 17 1.55 2.64 3.72
2016-04-30_03:17:14 1461979034 0x9, 5 17 2.03 1.67-1.37
2016-04-30_03:17:15 1461979035 0x9, 6 17 2.16 1.88-0.98
2016-04-30_03:19:06 1461979146 0x9, A 17 2.03 2.59 1.71
2016-04-30_03:21:06 1461979266 0x9, A 18 1.67 2.19 1.90
2016-04-30_03:23:06 1461979386 0x9, A 19 1.52 2.07 2.22
2016-04-30_03:24:28 1461979468 0x9, 1 21 1.84 2.59 2.44
2016-04-30_03:24:29 1461979469 0x9, 2 21 1.48 2.40 3.42
2016-04-30_03:24:32 1461979472 0x9, 5 21 2.40 2.52 0.34
2016-04-30_03:24:33 1461979473 0x9, 6 21 1.76 2.48 2.42
2016-04-30_03:25:06 1461979506 0x9, A 20 1.44 2.31 3.37
2016-04-30_03:26:28 1461979588 0x9, 1 22 1.44 2.16 2.87
2016-04-30_03:26:29 1461979589 0x9, 2 22 1.52 1.91 1.65
2016-04-30_03:26:32 1461979592 0x9, 5 22 1.84 2.92 3.27
2016-04-30_03:26:33 1461979593 0x9, 6 22 1.36 2.44 4.13
2016-04-30_03:27:06 1461979626 0x9, A 21 1.79 2.15 1.29
2016-04-30_03:28:28 1461979708 0x9, 1 23 1.52 2.44 3.35
2016-04-30_03:28:29 1461979709 0x9, 2 23 1.48 2.31 3.18
2016-04-30_03:28:32 1461979712 0x9, 5 23 2.11 2.52 1.22
2016-04-30_03:28:33 1461979713 0x9, 6 23 1.52 2.52 3.57
2016-04-30_03:29:06 1461979746 0x9, A 22 1.88 2.23 1.24
2016-04-30_03:30:28 1461979828 0x9, 1 24 1.76 1.72-0.16
2016-04-30_03:30:29 1461979829 0x9, 2 24 1.55 1.88 1.32
2016-04-30_03:30:32 1461979832 0x9, 5 24 2.07 2.44 1.13
2016-04-30_03:30:33 1461979833 0x9, 6 24 2.40 1.91-1.58
2016-04-30_03:31:06 1461979866 0x9, A 23 1.84 2.31 1.64
2016-04-30_03:32:28 1461979948 0x9, 1 25 1.79 2.24 1.54
2016-04-30_03:32:29 1461979949 0x9, 2 25 1.52 1.76 1.03
2016-04-30_03:32:32 1461979952 0x9, 5 25 2.11 2.11 0.00
2016-04-30_03:32:33 1461979953 0x9, 6 25 2.07 2.92 2.40
2016-04-30_03:33:06 1461979986 0x9, A 24 1.67 2.07 1.51
2016-04-30_03:34:28 1461980068 0x9, 1 26 1.36 2.07 3.00
2016-04-30_03:34:29 1461980069 0x9, 2 26 1.64 1.79 0.65
2016-04-30_03:34:32 1461980072 0x9, 5 26 2.24 1.72-1.87
2016-04-30_03:34:33 1461980073 0x9, 6 26 1.60 1.72 0.51
2016-04-30_03:35:06 1461980106 0x9, A 25 1.84 2.19 1.26
2016-04-30_03:36:28 1461980188 0x9, 1 27 2.27 2.20-0.25
2016-04-30_03:36:29 1461980189 0x9, 2 27 1.55 1.88 1.32
2016-04-30_03:36:32 1461980192 0x9, 5 27 1.79 1.88 0.30
2016-04-30_03:36:33 1461980193 0x9, 6 27 2.07 1.96-0.42
2016-04-30_03:37:06 1461980226 0x9, A 26 1.76 2.00 0.90
2016-04-30_03:39:06 1461980346 0x9, A 27 1.88 2.27 1.36
2016-04-30_03:41:06 1461980466 0x9, A 28 1.55 1.95 1.61
2016-04-30_03:43:06 1461980586 0x9, A 29 1.79 2.47 2.26
2016-04-30_03:43:49 1461980629 0x9, 1 31 1.32 2.11 3.35
2016-04-30_03:43:50 1461980630 0x9, 2 31 1.27 2.20 3.83
2016-04-30_03:43:53 1461980633 0x9, 5 31 2.03 2.07 0.13
2016-04-30_03:43:54 1461980634 0x9, 6 31 1.72 2.16 1.61
2016-04-30_03:45:06 1461980706 0x9, A 30 1.91 2.23 1.09
2016-04-30_03:45:49 1461980749 0x9, 1 32 1.64 2.03 1.54
2016-04-30_03:45:50 1461980750 0x9, 2 32 1.52 2.03 2.08
2016-04-30_03:45:53 1461980753 0x9, 5 32 1.91 1.84-0.30
2016-04-30_03:45:54 1461980754 0x9, 6 32 2.59 2.24-1.05
2016-04-30_03:47:06 1461980826 0x9, A 31 1.60 2.12 1.99
2016-04-30_03:47:49 1461980869 0x9, 1 33 1.52 2.27 2.87
2016-04-30_03:47:50 1461980870 0x9, 2 33 1.60 2.55 3.32
2016-04-30_03:47:53 1461980873 0x9, 5 33 2.24 2.03-0.66
2016-04-30_03:47:54 1461980874 0x9, 6 33 2.44 2.16-0.86
2016-04-30_03:49:06 1461980946 0x9, A 32 1.67 2.15 1.77
2016-04-30_03:49:49 1461980989 0x9, 1 34 1.76 1.88 0.46
2016-04-30_03:49:50 1461980990 0x9, 2 34 1.48 2.03 2.27
2016-04-30_03:49:53 1461980993 0x9, 5 34 1.91 2.20 0.96
2016-04-30_03:49:54 1461980994 0x9, 6 34 2.31 1.88-1.48
2016-04-30_03:51:06 1461981066 0x9, A 33 2.00 2.35 1.17
2016-04-30_03:51:49 1461981109 0x9, 1 35 2.00 1.76-0.90
2016-04-30_03:51:50 1461981110 0x9, 2 35 2.92 1.91-2.96
2016-04-30_03:51:53 1461981113 0x9, 5 35 2.11 2.03-0.27
2016-04-30_03:51:54 1461981114 0x9, 6 35 2.00 2.11 0.41
2016-04-30_03:53:06 1461981186 0x9, A 34 1.79 2.23 1.54
2016-04-30_03:53:49 1461981229 0x9, 1 36 1.64 1.91 1.11
2016-04-30_03:53:50 1461981230 0x9, 2 36 2.20 2.24 0.12
2016-04-30_03:53:53 1461981233 0x9, 5 36 2.11 2.00-0.41
2016-04-30_03:53:54 1461981234 0x9, 6 36 2.00 2.07 0.27
2016-04-30_03:55:06 1461981306 0x9, A 35 1.88 2.03 0.57
2016-04-30_03:55:49 1461981349 0x9, 1 37 1.72 2.40 2.35
2016-04-30_03:55:50 1461981350 0x9, 2 37 1.24 1.60 1.80
2016-04-30_03:55:53 1461981353 0x9, 5 37 2.20 3.27 2.82
2016-04-30_03:55:54 1461981354 0x9, 6 37 1.72 2.59 2.92
2016-04-30_03:57:06 1461981426 0x9, A 36 1.67 2.27 2.16
2016-04-30_03:59:06 1461981546 0x9, A 37 1.76 2.91 3.58
2016-04-30_04:01:06 1461981666 0x9, A 38 1.48 2.56 3.88
2016-04-30_04:03:06 1461981786 0x9, A 39 1.79 1.87 0.30
2016-04-30_04:03:10 1461981790 0x9, 1 40 1.84 2.24 1.39
2016-04-30_04:03:11 1461981791 0x9, 2 40 1.67 2.52 2.87
2016-04-30_04:03:14 1461981794 0x9, 5 40 2.20 2.07-0.39
2016-04-30_04:03:15 1461981795 0x9, 6 40 1.72 1.88 0.62
2016-04-30_04:05:06 1461981906 0x9, A 40 2.03 1.95-0.28
2016-04-30_04:05:10 1461981910 0x9, 1 41 1.84 2.16 1.13
2016-04-30_04:05:11 1461981911 0x9, 2 41 1.55 2.20 2.43
2016-04-30_04:05:14 1461981914 0x9, 5 41 2.20 1.67-1.90
2016-04-30_04:05:15 1461981915 0x9, 6 41 2.11 2.52 1.22
2016-04-30_04:07:06 1461982026 0x9, A 41 1.79 2.56 2.49
2016-04-30_04:07:10 1461982030 0x9, 1 42 1.76 2.00 0.90
2016-04-30_04:07:11 1461982031 0x9, 2 42 1.48 2.48 3.65
2016-04-30_04:07:14 1461982034 0x9, 5 42 1.79 1.88 0.30
2016-04-30_04:07:15 1461982035 0x9, 6 42 1.96 2.40 1.43
2016-04-30_04:09:06 1461982146 0x9, A 42 1.79 2.12 1.15
2016-04-30_04:09:10 1461982150 0x9, 1 43 1.84 2.07 0.86
2016-04-30_04:09:11 1461982151 0x9, 2 43 1.32 2.59 4.80
2016-04-30_04:09:14 1461982154 0x9, 5 43 2.48 2.16-0.97
2016-04-30_04:09:15 1461982155 0x9, 6 43 1.72 2.40 2.35
2016-04-30_04:11:06 1461982266 0x9, A 43 1.88 1.95 0.29
2016-04-30_04:11:10 1461982270 0x9, 1 44 2.07 1.67-1.51
2016-04-30_04:11:11 1461982271 0x9, 2 44 1.64 1.76 0.50
2016-04-30_04:11:14 1461982274 0x9, 5 44 2.52 2.00-1.63
2016-04-30_04:11:15 1461982275 0x9, 6 44 2.27 1.91-1.21
2016-04-30_04:13:06 1461982386 0x9, A 44 1.55 2.44 3.16
2016-04-30_04:13:10 1461982390 0x9, 1 45 1.91 2.64 2.25
2016-04-30_04:13:11 1461982391 0x9, 2 45 1.48 2.16 2.67
2016-04-30_04:13:14 1461982394 0x9, 5 45 2.35 2.20-0.49
2016-04-30_04:13:15 1461982395 0x9, 6 45 1.88 2.52 2.07
2016-04-30_04:15:06 1461982506 0x9, A 45 1.96 2.07 0.42
2016-04-30_04:15:10 1461982510 0x9, 1 46 1.88 2.27 1.36
2016-04-30_04:15:11 1461982511 0x9, 2 46 1.67 2.76 3.51
2016-04-30_04:15:14 1461982514 0x9, 5 46 2.03 2.24 0.66
2016-04-30_04:15:15 1461982515 0x9, 6 46 1.79 2.52 2.38
2016-04-30_04:17:06 1461982626 0x9, A 46 1.79 2.12 1.15
2016-04-30_04:19:06 1461982746 0x9, A 47 1.96 2.12 0.55
2016-04-30_04:21:06 1461982866 0x9, A 48 1.76 1.79 0.15
2016-04-30_04:22:31 1461982951 0x9, 1 50 1.36 2.00 2.73
2016-04-30_04:22:32 1461982952 0x9, 2 50 1.48 2.20 2.80
2016-04-30_04:22:35 1461982955 0x9, 5 50 1.88 2.31 1.48
2016-04-30_04:22:36 1461982956 0x9, 6 50 2.03 2.31 0.91
2016-04-30_04:23:06 1461982986 0x9, A 49 1.67 2.15 1.77
2016-04-30_04:24:31 1461983071 0x9, 1 51 1.52 1.91 1.65
2016-04-30_04:24:32 1461983072 0x9, 2 51 1.64 1.88 0.96
