2016-05-26_02:45:35 1464223535 0x9, 2 1 2.11 1.84-1.00
2016-05-26_02:45:38 1464223538 0x9, 5 1 1.79 2.35 1.91
2016-05-26_02:45:39 1464223539 0x9, 6 1 2.16 2.96 2.23
2016-05-26_02:47:35 1464223655 0x9, 2 2 2.00 1.84-0.59
2016-05-26_02:47:38 1464223658 0x9, 5 2 1.91 2.27 1.21
2016-05-26_02:47:39 1464223659 0x9, 6 2 2.07 2.72 1.89
2016-05-26_02:49:35 1464223775 0x9, 2 3 1.64 2.76 3.68
2016-05-26_02:49:38 1464223778 0x9, 5 3 1.72 2.24 1.87
2016-05-26_02:49:39 1464223779 0x9, 6 3 1.79 2.40 2.03
2016-05-26_02:51:35 1464223895 0x9, 2 4 2.24 2.00-0.80
2016-05-26_02:51:38 1464223898 0x9, 5 4 2.07 2.55 1.47
2016-05-26_02:51:39 1464223899 0x9, 6 4 1.64 2.11 1.81
2016-05-26_02:53:35 1464224015 0x9, 2 5 1.52 2.11 2.35
2016-05-26_02:53:38 1464224018 0x9, 5 5 2.07 2.72 1.89
2016-05-26_02:53:39 1464224019 0x9, 6 5 2.11 2.31 0.63
2016-05-26_02:54:42 1464224082 0x9, A 5 2.07 2.19 0.39
2016-05-26_02:55:35 1464224135 0x9, 2 6 1.67 2.40 2.52
2016-05-26_02:55:38 1464224138 0x9, 5 6 2.35 1.76-2.07
2016-05-26_02:55:39 1464224139 0x9, 6 6 1.48 2.72 4.30
2016-05-26_02:56:42 1464224202 0x9, A 6 2.00 2.35 1.17
2016-05-26_02:57:35 1464224255 0x9, 2 7 1.72 2.00 1.06
2016-05-26_02:57:38 1464224258 0x9, 5 7 2.07 2.16 0.26
2016-05-26_02:57:39 1464224259 0x9, 6 7 1.88 2.20 1.11
2016-05-26_02:58:42 1464224322 0x9, A 7 1.79 2.19 1.42
2016-05-26_03:00:42 1464224442 0x9, A 8 1.52 2.27 2.87
2016-05-26_03:02:42 1464224562 0x9, A 9 2.07 2.15 0.26
2016-05-26_03:04:42 1464224682 0x9, A 10 1.79 2.15 1.29
2016-05-26_03:05:21 1464224721 0x9, 2 11 1.60 2.11 1.99
2016-05-26_03:05:24 1464224724 0x9, 5 11 2.11 2.35 0.75
2016-05-26_03:05:25 1464224725 0x9, 6 11 1.88 2.07 0.71
2016-05-26_03:06:42 1464224802 0x9, A 11 1.84 2.27 1.51
2016-05-26_03:06:52 1464224812 0x9, 7 12 2.07 2.00-0.27
2016-05-26_03:07:21 1464224841 0x9, 2 12 1.76 2.40 2.19
2016-05-26_03:07:24 1464224844 0x9, 5 12 2.07 2.16 0.26
2016-05-26_03:07:25 1464224845 0x9, 6 12 1.72 2.07 1.34
2016-05-26_03:08:42 1464224922 0x9, A 12 1.76 2.12 1.31
2016-05-26_03:08:52 1464224932 0x9, 7 13 1.84 2.07 0.86
2016-05-26_03:09:21 1464224961 0x9, 2 13 1.60 2.07 1.85
2016-05-26_03:09:24 1464224964 0x9, 5 13 2.20 1.79-1.42
2016-05-26_03:09:25 1464224965 0x9, 6 13 1.52 2.31 2.99
2016-05-26_03:10:42 1464225042 0x9, A 13 1.96 2.07 0.42
2016-05-26_03:10:52 1464225052 0x9, 7 14 2.11 2.16 0.13
2016-05-26_03:11:21 1464225081 0x9, 2 14 2.11 2.35 0.75
2016-05-26_03:11:24 1464225084 0x9, 5 14 1.91 1.91 0.00
2016-05-26_03:11:25 1464225085 0x9, 6 14 1.72 2.24 1.87
2016-05-26_03:12:42 1464225162 0x9, A 14 1.60 2.35 2.75
2016-05-26_03:12:52 1464225172 0x9, 7 15 1.96 2.24 0.94
2016-05-26_03:13:21 1464225201 0x9, 2 15 1.88 2.79 2.82
2016-05-26_03:13:24 1464225204 0x9, 5 15 2.27 2.31 0.12
2016-05-26_03:13:25 1464225205 0x9, 6 15 1.88 2.40 1.72
2016-05-26_03:14:42 1464225282 0x9, A 15 1.60 2.47 3.10
2016-05-26_03:14:52 1464225292 0x9, 7 16 2.00 2.11 0.41
2016-05-26_03:15:21 1464225321 0x9, 2 16 1.27 1.96 3.01
2016-05-26_03:15:24 1464225324 0x9, 5 16 1.88 2.48 1.96
2016-05-26_03:15:25 1464225325 0x9, 6 16 1.60 2.20 2.25
2016-05-26_03:16:41 1464225401 0x9, A 16 1.88 2.03 0.57
2016-05-26_03:16:53 1464225413 0x9, 8 17 1.52 2.11 2.35
2016-05-26_03:17:21 1464225441 0x9, 2 17 1.36 2.07 3.00
2016-05-26_03:17:24 1464225444 0x9, 5 17 1.84 2.11 1.00
2016-05-26_03:17:25 1464225445 0x9, 6 17 2.16 2.03-0.40
2016-05-26_03:18:41 1464225521 0x9, A 17 1.79 2.31 1.79
2016-05-26_03:18:53 1464225533 0x9, 8 18 1.67 2.16 1.77
2016-05-26_03:19:21 1464225561 0x9, 2 18 1.64 1.88 0.96
2016-05-26_03:19:24 1464225564 0x9, 5 18 1.96 2.24 0.94
2016-05-26_03:19:25 1464225565 0x9, 6 18 1.79 2.48 2.26
2016-05-26_03:20:41 1464225641 0x9, A 18 1.76 2.23 1.70
2016-05-26_03:20:52 1464225652 0x9, 7 19 2.24 2.00-0.80
