2016-04-19_17:36:11 1461080171 0x1; 452 rTX 6
2016-04-19_17:36:11 1461080171 0x1; 452 rTX 7
2016-04-19_17:36:11 1461080171 0x1; 452 rTX 8
2016-04-19_17:36:14 1461080174 0x1; 452 rTX 9
2016-04-19_17:36:20 1461080180 0x1; 452 rTX 10
2016-04-19_17:36:31 1461080191 0x1; 452 rTXERR
2016-04-19_17:38:11 1461080291 0x2; 453 rTX 0
2016-04-19_17:38:11 1461080291 0x2; 453 rTX 1
2016-04-19_17:40:11 1461080411 0x2; 454 rTX 0
2016-04-19_17:40:11 1461080411 0x2; 454 rTX 1
2016-04-19_17:40:13 1461080413 0x6; 454 rTX 0
2016-04-19_18:12:17 1461082337 0x2; 1 rTX 0
2016-04-19_18:12:17 1461082337 0x2; 1 rTX 1
2016-04-19_18:12:17 1461082337 0x2; 1 rTX 2
2016-04-19_18:12:17 1461082337 0x2; 1 rTX 3
2016-04-19_18:14:17 1461082457 0x2; 471 rTX 0
2016-04-19_18:16:17 1461082577 0x2; 472 rTX 0
2016-04-19_18:18:17 1461082697 0x2; 473 rTX 0
2016-04-19_18:20:15 1461082815 0x1; 474 rTX 0
2016-04-19_18:20:15 1461082815 0x1; 474 rTX 1
2016-04-19_18:20:15 1461082815 0x1; 474 rTX 2
2016-04-19_18:20:15 1461082815 0x1; 474 rTX 3
2016-04-19_18:20:15 1461082815 0x1; 474 rTX 4
2016-04-19_18:20:15 1461082815 0x1; 474 rTX 5
2016-04-19_18:20:15 1461082815 0x1; 474 rTX 6
2016-04-19_18:20:16 1461082816 0x1; 474 rTX 7
2016-04-19_18:20:17 1461082817 0x2; 474 rTX 0
2016-04-19_18:20:17 1461082817 0x2; 474 rTX 1
2016-04-19_18:20:17 1461082817 0x2; 474 rTX 2
2016-04-19_18:20:17 1461082817 0x2; 474 rTX 3
2016-04-19_18:20:17 1461082817 0x2; 474 rTX 4
2016-04-19_18:20:17 1461082817 0x1; 474 rTX 8
2016-04-19_18:20:17 1461082817 0x2; 474 rTX 5
2016-04-19_18:20:18 1461082818 0x2; 474 rTX 6
2016-04-19_18:20:19 1461082819 0x2; 474 rTX 7
2016-04-19_18:20:20 1461082820 0x1; 474 rTX 9
2016-04-19_18:22:15 1461082935 0x1; 475 rTX 0
2016-04-19_18:22:15 1461082935 0x1; 475 rTX 1
2016-04-19_18:22:15 1461082935 0x1; 475 rTX 2
2016-04-19_18:22:15 1461082935 0x1; 475 rTX 3
2016-04-19_18:24:15 1461083055 0x1; 476 rTX 0
2016-04-19_18:24:15 1461083055 0x1; 476 rTX 1
2016-04-19_18:24:15 1461083055 0x1; 476 rTX 2
2016-04-19_18:24:15 1461083055 0x1; 476 rTX 3
2016-04-19_18:26:15 1461083175 0x1; 477 rTX 0
2016-04-19_18:26:15 1461083175 0x1; 477 rTX 1
2016-04-19_18:26:15 1461083175 0x1; 477 rTX 2
2016-04-19_18:26:15 1461083175 0x1; 477 rTX 3
2016-04-19_18:26:15 1461083175 0x1; 477 rTX 4
2016-04-19_18:26:15 1461083175 0x1; 477 rTX 5
2016-04-19_18:26:15 1461083175 0x1; 477 rTX 6
2016-04-19_18:26:16 1461083176 0x1; 477 rTX 7
2016-04-19_18:26:17 1461083177 0x1; 477 rTX 8
2016-04-19_18:26:20 1461083180 0x1; 477 rTX 9
2016-04-19_18:26:25 1461083185 0x1; 477 rTX 10
2016-04-19_18:26:37 1461083197 0x1; 477 rTXERR
2016-04-19_19:50:11 1461088211 0x2; 523 rTX 0
2016-04-19_19:50:11 1461088211 0x2; 523 rTX 1
2016-04-19_19:50:11 1461088211 0x2; 523 rTX 2
2016-04-19_19:50:11 1461088211 0x2; 523 rTX 3
2016-04-19_19:50:11 1461088211 0x2; 523 rTX 4
2016-04-19_19:50:11 1461088211 0x2; 523 rTX 5
2016-04-19_19:50:11 1461088211 0x2; 523 rTX 6
2016-04-19_19:50:11 1461088211 0x2; 523 rTX 7
2016-04-19_20:00:11 1461088811 0x2; 528 rTX 0
2016-04-19_20:00:11 1461088811 0x2; 528 rTX 1
2016-04-19_20:00:11 1461088811 0x2; 528 rTX 2
2016-04-19_20:00:11 1461088811 0x2; 528 rTX 3
2016-04-19_20:00:11 1461088811 0x2; 528 rTX 4
2016-04-19_20:00:11 1461088811 0x2; 528 rTX 5
2016-04-19_20:00:11 1461088811 0x2; 528 rTX 6
2016-04-19_20:00:11 1461088811 0x2; 528 rTX 7
