2016-04-24_00:03:11 1461448991 0x6 0;2,2,0,0,0,1,2,2,7,0,1,0,1,2,2,0,2,6,5,3,0,1,2,2,2-1192,531-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_00:11:12 1461449472 0x6 63;2,2,2,2,2,2,2,2,2,0,2,2,4,2,1,0,1,2,3,0,1,2,1,0,2-11f2,4fc-1:f3/6b;0:f2/6b;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dd/68;0:0/0
2016-04-24_00:13:12 1461449592 0x6 64;2,0,1,1,2,1,2,0,2,3,0,0,2,4,2,5,0,3,2,0,2,1,2,2,2-11f9,4fb-1:f2/6c;0:f3/6b;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dd/6a;0:0/0
2016-04-24_00:15:12 1461449712 0x6 65;5,3,5,2,1,2,3,1,2,3,2,1,1,1,3,2,2,3,2,1,0,2,2,4,2-11fc,4f8-1:f3/6a;0:f2/6c;0:0/0;0:0/0;0:4/6a;0:0/0;0:0/0;0:0/0;0:dc/6b;0:0/0
2016-04-24_00:17:12 1461449832 0x6 66;2,1,2,1,1,2,0,1,4,0,2,0,3,2,1,4,1,1,2,1,0,2,2,1,2-11fe,4f6-1:f2/6b;0:f4/6b;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dd/67;0:0/0
2016-04-24_00:22:12 1461450132 0x6 0;0,2,1,2,0,2,2,2,0,2,1,2,5,1,2,1,1,1,2,0,1,2,2,2,6-1182,531-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_00:26:12 1461450372 0x6 70;2,3,2,1,2,2,0,2,3,3,2,2,6,2,2,1,3,1,0,0,1,0,2,1,2-11d6,504-1:f2/6c;0:f2/6c;0:0/0;0:0/0;0:4/6c;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
2016-04-24_00:28:12 1461450492 0x6 71;2,2,2,3,2,1,2,7,2,2,2,2,0,2,2,0,2,1,c,2,1,1,2,2,0-11dc,4fe-1:f3/6c;0:f2/6c;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dd/69;0:0/0
2016-04-24_00:30:12 1461450612 0x6 72;2,5,2,7,2,1,1,0,1,0,1,1,2,1,2,1,2,6,2,7,4,2,2,2,2-11e0,4fa-1:f3/6b;0:f2/6b;0:0/0;0:0/0;0:4/69;0:0/0;0:0/0;0:0/0;0:dd/6a;0:0/0
2016-04-24_00:32:12 1461450732 0x6 73;2,1,1,0,2,1,2,2,2,2,1,2,2,2,2,2,1,0,2,2,1,3,2,3,1-11e3,4fa-1:f3/6b;0:f2/6c;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
2016-04-24_00:36:12 1461450972 0x6 75;2,2,1,1,1,2,2,2,2,1,6,2,2,2,2,2,2,2,1,1,2,2,2,2,2-11e3,4f4-1:f3/6b;0:f2/6a;0:0/0;0:0/0;0:4/6c;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
