2016-05-04_00:06:29 1462313189 0x1; 653 rTX 00x1 654;1,4,2,1,4,1,2,1,2,6,3,2,0,0,1,2,2,2,0,0,2,2,0,2,2-13a9,9b5-0:0/0;0:2/6b;0:0/0;0:0/0;1:ef/6c;1:f6/69;0:0/0;0:0/0;0:dd/67;0:0/0
2016-05-04_00:12:02 1462313522 0x1; 1 rTX 0
2016-05-04_00:12:06 1462313526 0x5; 1 rTX 0
2016-05-04_00:14:03 1462313643 0x1; 2 rTX 0
2016-05-04_00:14:03 1462313643 0x1; 2 rTX 1
2016-05-04_00:14:03 1462313643 0x1; 2 rTX 2
2016-05-04_00:16:02 1462313762 0x1; 3 rTX 0
2016-05-04_00:16:02 1462313762 0x1; 3 rTX 1
2016-05-04_00:16:02 1462313762 0x1; 3 rTX 2
2016-05-04_00:16:02 1462313762 0x1; 3 rTX 3
2016-05-04_00:16:02 1462313762 0x1; 3 rTX 4
2016-05-04_00:16:03 1462313763 0x1; 3 rTX 5
2016-05-04_00:18:03 1462313883 0x2; 4 rTX 0
2016-05-04_00:18:03 1462313883 0x2; 4 rTX 1
2016-05-04_00:18:03 1462313883 0x2; 4 rTX 2
2016-05-04_00:18:03 1462313883 0x2; 4 rTX 3
2016-05-04_00:20:02 1462314002 0x1; 5 rTX 0
2016-05-04_00:20:02 1462314002 0x1; 5 rTX 1
2016-05-04_00:20:02 1462314002 0x1; 5 rTX 2
2016-05-04_00:20:03 1462314003 0x2; 5 rTX 0
2016-05-04_00:20:03 1462314003 0x2; 5 rTX 1
2016-05-04_00:20:03 1462314003 0x2; 5 rTX 2
2016-05-04_00:20:03 1462314003 0x2; 5 rTX 3
2016-05-04_00:22:02 1462314122 0x1; 6 rTX 0
2016-05-04_00:22:02 1462314122 0x1; 6 rTX 1
2016-05-04_00:22:03 1462314123 0x2; 6 rTX 0
2016-05-04_00:22:03 1462314123 0x2; 6 rTX 1
2016-05-04_00:22:03 1462314123 0x2; 6 rTX 2
2016-05-04_00:24:02 1462314242 0x1; 7 rTX 0
2016-05-04_00:24:03 1462314243 0x1; 7 rTX 1
2016-05-04_00:24:03 1462314243 0x1; 7 rTX 2
2016-05-04_00:24:03 1462314243 0x1; 7 rTX 3
2016-05-04_00:26:02 1462314362 0x1; 8 rTX 0
2016-05-04_00:26:02 1462314362 0x1; 8 rTX 1
2016-05-04_00:26:02 1462314363 0x1; 8 rTX 2
2016-05-04_00:26:03 1462314363 0x2; 8 rTX 0
2016-05-04_00:26:03 1462314363 0x2; 8 rTX 1
2016-05-04_00:26:03 1462314363 0x2; 8 rTX 2
2016-05-04_00:26:03 1462314363 0x2; 8 rTX 3
2016-05-04_00:28:02 1462314482 0x1; 9 rTX 0
2016-05-04_00:28:02 1462314482 0x1; 9 rTX 1
2016-05-04_00:28:02 1462314482 0x1; 9 rTX 2
2016-05-04_00:28:02 1462314482 0x1; 9 rTX 3
2016-05-04_00:30:02 1462314602 0x1; 10 rTX 0
2016-05-04_00:30:02 1462314602 0x1; 10 rTX 1
2016-05-04_00:30:03 1462314603 0x2; 10 rTX 0
2016-05-04_00:30:03 1462314603 0x2; 10 rTX 1
2016-05-04_00:30:03 1462314603 0x2; 10 rTX 2
2016-05-04_00:30:03 1462314603 0x2; 10 rTX 3
2016-05-04_00:30:03 1462314603 0x2; 10 rTX 4
2016-05-04_00:30:04 1462314604 0x2; 10 rTX 5
2016-05-04_00:32:02 1462314722 0x1; 11 rTX 0
2016-05-04_00:32:02 1462314722 0x1; 11 rTX 1
2016-05-04_00:32:02 1462314722 0x1; 11 rTX 2
2016-05-04_00:32:02 1462314722 0x1; 11 rTX 3
2016-05-04_00:34:02 1462314842 0x1; 12 rTX 0
2016-05-04_00:34:03 1462314843 0x2; 12 rTX 0
2016-05-04_00:34:04 1462314844 0x2; 12 rTX 1
2016-05-04_00:34:04 1462314844 0x2; 12 rTX 2
