2016-05-06_12:04:33 1462529073 0x1; 290 rTX 0
2016-05-06_12:16:33 1462529793 0x1; 296 rTX 0
2016-05-06_12:26:33 1462530393 0x1; 301 rTX 0
2016-05-06_12:28:33 1462530513 0x1; 302 rTX 0
2016-05-06_12:42:33 1462531353 0x1; 309 rTX 0
2016-05-06_12:42:33 1462531353 0x1; 309 rTX 1
2016-05-06_12:46:33 1462531593 0x1; 311 rTX 0
2016-05-06_12:48:33 1462531713 0x1; 312 rTX 0
2016-05-06_12:48:33 1462531713 0x1; 312 rTX 1
2016-05-06_12:48:33 1462531713 0x1; 312 rTX 2
2016-05-06_12:50:33 1462531833 0x1; 313 rTX 0
2016-05-06_12:50:33 1462531833 0x1; 313 rTX 1
2016-05-06_12:50:33 1462531833 0x1; 313 rTX 2
2016-05-06_12:50:33 1462531833 0x1; 313 rTX 3
2016-05-06_12:50:33 1462531833 0x1; 313 rTX 4
2016-05-06_12:50:33 1462531833 0x1; 313 rTX 5
2016-05-06_13:00:37 1462532437 0x5; 318 rTX 0
2016-05-06_13:00:37 1462532437 0x5; 318 rTX 1
2016-05-06_13:00:37 1462532437 0x5; 318 rTX 2
2016-05-06_13:00:37 1462532437 0x5; 318 rTX 3
2016-05-06_13:00:37 1462532437 0x5; 318 rTX 4
2016-05-06_13:00:37 1462532437 0x5; 318 rTX 5
2016-05-06_13:00:37 1462532437 0x5; 318 rTX 6
2016-05-06_13:00:38 1462532438 0x5; 318 rTX 7
2016-05-06_13:00:40 1462532440 0x5; 318 rTX 8
2016-05-06_13:00:43 1462532443 0x5; 318 rTX 9
2016-05-06_13:00:47 1462532447 0x5; 318 rTX 10
2016-05-06_13:01:00 1462532460 0x5; 318 rTXERR
2016-05-06_13:02:37 1462532557 0x5; 319 rTX 0
2016-05-06_13:02:37 1462532557 0x5; 319 rTX 1
2016-05-06_13:02:37 1462532557 0x5; 319 rTX 2
2016-05-06_13:02:37 1462532557 0x5; 319 rTX 3
2016-05-06_13:02:37 1462532557 0x5; 319 rTX 4
2016-05-06_13:02:37 1462532557 0x5; 319 rTX 5
2016-05-06_13:02:37 1462532557 0x5; 319 rTX 6
2016-05-06_13:02:38 1462532558 0x5; 319 rTX 7
2016-05-06_13:02:40 1462532560 0x5; 319 rTX 8
2016-05-06_13:02:43 1462532563 0x5; 319 rTX 9
2016-05-06_13:02:49 1462532569 0x5; 319 rTX 10
2016-05-06_13:02:59 1462532579 0x5; 319 rTXERR
2016-05-06_13:04:37 1462532677 0x5; 320 rTX 0
2016-05-06_13:04:37 1462532677 0x5; 320 rTX 1
2016-05-06_13:04:37 1462532677 0x5; 320 rTX 2
2016-05-06_13:04:37 1462532677 0x5; 320 rTX 3
2016-05-06_13:04:37 1462532677 0x5; 320 rTX 4
2016-05-06_13:04:37 1462532677 0x5; 320 rTX 5
2016-05-06_13:04:37 1462532677 0x5; 320 rTX 6
2016-05-06_13:04:38 1462532678 0x5; 320 rTX 7
2016-05-06_13:04:40 1462532680 0x5; 320 rTX 8
2016-05-06_13:04:44 1462532684 0x5; 320 rTX 9
2016-05-06_13:04:48 1462532688 0x5; 320 rTX 10
2016-05-06_13:05:00 1462532700 0x5; 320 rTXERR
2016-05-06_13:06:37 1462532797 0x5; 321 rTX 0
2016-05-06_13:06:37 1462532797 0x5; 321 rTX 1
2016-05-06_13:06:37 1462532797 0x5; 321 rTX 2
2016-05-06_13:06:37 1462532797 0x5; 321 rTX 3
2016-05-06_13:06:37 1462532797 0x5; 321 rTX 4
2016-05-06_13:06:37 1462532797 0x5; 321 rTX 5
2016-05-06_13:06:37 1462532797 0x5; 321 rTX 6
2016-05-06_13:06:38 1462532798 0x5; 321 rTX 7
2016-05-06_13:06:40 1462532800 0x5; 321 rTX 8
2016-05-06_13:08:37 1462532917 0x5; 322 rTX 0
2016-05-06_13:08:37 1462532917 0x5; 322 rTX 1
2016-05-06_13:08:37 1462532917 0x5; 322 rTX 2
2016-05-06_13:08:37 1462532917 0x5; 322 rTX 3
2016-05-06_13:08:37 1462532917 0x5; 322 rTX 4
2016-05-06_13:08:37 1462532917 0x5; 322 rTX 5
2016-05-06_13:08:37 1462532917 0x5; 322 rTX 6
2016-05-06_13:08:38 1462532918 0x5; 322 rTX 7
2016-05-06_13:08:39 1462532919 0x5; 322 rTX 8
2016-05-06_13:08:42 1462532922 0x5; 322 rTX 9
2016-05-06_13:08:50 1462532930 0x5; 322 rTX 10
2016-05-06_13:09:00 1462532940 0x5; 322 rTXERR
2016-05-06_13:10:37 1462533037 0x5; 323 rTX 0
2016-05-06_13:10:37 1462533037 0x5; 323 rTX 1
2016-05-06_13:10:37 1462533037 0x5; 323 rTX 2
2016-05-06_13:10:37 1462533037 0x5; 323 rTX 3
2016-05-06_13:10:37 1462533037 0x5; 323 rTX 4
2016-05-06_13:10:37 1462533037 0x5; 323 rTX 5
2016-05-06_13:10:38 1462533038 0x5; 323 rTX 6
2016-05-06_13:10:38 1462533038 0x5; 323 rTX 7
2016-05-06_13:10:39 1462533039 0x5; 323 rTX 8
2016-05-06_13:10:42 1462533042 0x5; 323 rTX 9
2016-05-06_13:10:49 1462533049 0x5; 323 rTX 10
2016-05-06_13:11:05 1462533065 0x5; 323 rTXERR
2016-05-06_13:12:37 1462533157 0x5; 324 rTX 0
2016-05-06_13:12:37 1462533157 0x5; 324 rTX 1
2016-05-06_13:12:37 1462533157 0x5; 324 rTX 2
2016-05-06_13:12:37 1462533157 0x5; 324 rTX 3
2016-05-06_13:12:37 1462533157 0x5; 324 rTX 4
2016-05-06_13:12:37 1462533157 0x5; 324 rTX 5
2016-05-06_13:12:37 1462533157 0x5; 324 rTX 6
2016-05-06_13:12:38 1462533158 0x5; 324 rTX 7
2016-05-06_13:12:40 1462533160 0x5; 324 rTX 8
2016-05-06_13:12:43 1462533163 0x5; 324 rTX 9
2016-05-06_13:12:50 1462533170 0x5; 324 rTX 10
2016-05-06_13:13:04 1462533184 0x5; 324 rTXERR
2016-05-06_13:14:37 1462533277 0x5; 325 rTX 0
2016-05-06_13:14:37 1462533277 0x5; 325 rTX 1
2016-05-06_13:14:37 1462533277 0x5; 325 rTX 2
2016-05-06_13:14:37 1462533277 0x5; 325 rTX 3
