2016-05-24_02:45:32 1464050732 0x1 1;2,0,1,0,0,2,4,2,2,2,1,2,0,0,5,4,3,0,1,1,0,1,0,2,0-1689,b99-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:d2/4f;0:0/0
2016-05-24_02:47:32 1464050852 0x1 2;2,1,2,2,2,1,2,1,2,2,1,0,1,2,2,2,2,8,2,2,0,0,0,0,2-16be,b5d-0:0/0;1:0/6c;0:0/0;0:0/0;1:ed/6b;1:f1/6b;0:0/0;0:0/0;0:d6/65;0:0/0
2016-05-24_02:49:32 1464050972 0x1 3;2,3,1,1,1,1,1,0,2,2,1,2,1,4,1,2,2,2,1,2,1,2,2,2,2-16dc,b47-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6a;1:ef/6c;0:0/0;0:0/0;0:d4/5a;0:0/0
2016-05-24_02:51:32 1464051092 0x1 4;0,2,1,0,2,2,2,2,0,6,1,0,2,2,2,1,3,1,4,2,2,1,1,2,0-16f3,b3b-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:ef/6c;0:0/0;0:0/0;0:d5/64;0:0/0
2016-05-24_02:53:32 1464051212 0x1 5;2,2,1,1,1,0,2,2,0,2,0,2,2,3,1,1,2,1,1,2,2,2,2,1,1-1706,b34-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6c;1:ef/6b;0:0/0;0:0/0;0:d4/56;0:0/0
2016-05-24_02:55:32 1464051332 0x1 6;0,4,1,1,2,1,0,8,8,2,1,7,1,0,1,3,2,2,2,2,2,2,0,8,1-1713,b2b-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6b;1:f0/6b;0:0/0;0:0/0;0:d4/5f;0:0/0
2016-05-24_02:57:32 1464051452 0x1 7;2,1,2,1,0,0,2,2,1,2,0,1,2,1,3,1,2,2,1,1,2,2,1,2,3-1720,b25-0:0/0;1:0/6c;0:0/0;0:0/0;1:ee/6b;1:f0/6a;0:0/0;0:0/0;0:d4/5c;0:0/0
2016-05-24_02:59:32 1464051572 0x1 8;2,2,3,2,0,0,1,2,0,1,2,0,1,1,1,2,3,4,2,2,7,2,1,1,2-1728,b1c-0:0/0;1:0/6c;0:0/0;0:0/0;1:ee/69;1:f0/6a;0:0/0;0:0/0;0:d5/5f;0:0/0
2016-05-24_03:01:32 1464051692 0x1 9;2,2,6,1,0,1,1,6,0,2,1,2,2,0,2,0,1,2,1,1,0,2,0,2,1-172d,b0f-0:0/0;1:0/6a;0:0/0;0:0/0;1:ee/6b;1:f1/6b;0:0/0;0:0/0;0:d6/66;0:0/0
2016-05-24_03:03:32 1464051812 0x1 10;2,4,2,2,1,0,0,1,1,1,1,2,4,0,1,1,1,1,3,2,1,2,1,2,1-172e,aff-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:f0/6b;0:0/0;0:0/0;0:d5/5b;0:0/0
2016-05-24_03:05:32 1464051932 0x1 11;2,2,6,6,1,1,2,1,0,2,2,1,2,0,2,2,2,2,2,2,2,1,3,1,3-172f,adc-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/69;1:ee/6b;0:0/0;0:0/0;0:d7/5f;0:0/0
