2016-06-17_03:11:17 1466125877 0x6; 5 rTX 0
2016-06-17_03:15:17 1466126117 0x6; 7 rTX 0
2016-06-17_03:15:17 1466126117 0x6; 7 rTX 1
2016-06-17_03:19:17 1466126357 0x6; 9 rTX 0
2016-06-17_03:21:13 1466126473 0x2; 10 rTX 0
2016-06-17_03:21:17 1466126477 0x6; 10 rTX 0
2016-06-17_03:25:13 1466126713 0x2; 12 rTX 0
2016-06-17_03:25:13 1466126713 0x2; 12 rTX 1
2016-06-17_03:25:13 1466126713 0x2; 12 rTX 2
2016-06-17_03:25:13 1466126713 0x2; 12 rTX 3
2016-06-17_03:27:17 1466126837 0x6; 13 rTX 0
2016-06-17_03:27:17 1466126837 0x6; 13 rTX 1
2016-06-17_03:29:17 1466126957 0x6; 14 rTX 0
2016-06-17_03:31:13 1466127073 0x2; 15 rTX 0
2016-06-17_03:31:17 1466127077 0x6; 15 rTX 0
2016-06-17_03:33:12 1466127193 0x2; 16 rTX 0
2016-06-17_03:33:13 1466127193 0x2; 16 rTX 1
2016-06-17_03:33:17 1466127197 0x6; 16 rTX 0
2016-06-17_03:35:12 1466127312 0x2; 17 rTX 0
2016-06-17_03:35:17 1466127317 0x6; 17 rTX 0
2016-06-17_03:35:17 1466127317 0x6; 17 rTX 1
2016-06-17_03:35:17 1466127317 0x6; 17 rTX 2
2016-06-17_03:35:17 1466127317 0x6; 17 rTX 3
2016-06-17_03:39:17 1466127557 0x6; 19 rTX 0
2016-06-17_03:39:17 1466127557 0x6; 19 rTX 1
2016-06-17_03:39:17 1466127557 0x6; 19 rTX 2
2016-06-17_03:41:17 1466127677 0x6; 20 rTX 0
2016-06-17_03:41:17 1466127677 0x6; 20 rTX 1
2016-06-17_03:41:17 1466127677 0x6; 20 rTX 2
2016-06-17_03:41:17 1466127677 0x6; 20 rTX 3
2016-06-17_03:41:17 1466127677 0x6; 20 rTX 4
2016-06-17_03:41:17 1466127677 0x6; 20 rTX 5
2016-06-17_03:43:17 1466127797 0x6; 21 rTX 0
2016-06-17_03:43:17 1466127797 0x6; 21 rTX 1
2016-06-17_03:43:17 1466127797 0x6; 21 rTX 2
2016-06-17_03:43:17 1466127797 0x6; 21 rTX 3
2016-06-17_03:47:17 1466128037 0x6; 23 rTX 0
2016-06-17_03:47:17 1466128037 0x6; 23 rTX 1
2016-06-17_03:47:17 1466128037 0x6; 23 rTX 2
2016-06-17_03:47:17 1466128037 0x6; 23 rTX 3
2016-06-17_03:49:12 1466128152 0x2; 24 rTX 0
2016-06-17_03:49:17 1466128157 0x6; 24 rTX 0
2016-06-17_03:49:17 1466128157 0x6; 24 rTX 1
2016-06-17_03:49:17 1466128157 0x6; 24 rTX 2
2016-06-17_03:51:12 1466128272 0x2; 25 rTX 0
2016-06-17_03:51:13 1466128273 0x2; 25 rTX 1
2016-06-17_03:51:13 1466128273 0x2; 25 rTX 2
2016-06-17_03:51:13 1466128273 0x2; 25 rTX 3
2016-06-17_03:51:13 1466128273 0x2; 25 rTX 4
2016-06-17_03:51:13 1466128273 0x2; 25 rTX 5
2016-06-17_03:51:13 1466128273 0x2; 25 rTX 6
2016-06-17_03:51:17 1466128277 0x6; 25 rTX 0
2016-06-17_03:51:17 1466128277 0x6; 25 rTX 1
2016-06-17_03:51:17 1466128277 0x6; 25 rTX 2
2016-06-17_03:51:17 1466128277 0x6; 25 rTX 3
2016-06-17_03:51:17 1466128277 0x6; 25 rTX 4
2016-06-17_03:51:17 1466128277 0x6; 25 rTX 5
2016-06-17_03:53:13 1466128393 0x2; 26 rTX 0
2016-06-17_03:53:13 1466128393 0x2; 26 rTX 1
2016-06-17_03:53:17 1466128397 0x6; 26 rTX 0
2016-06-17_03:53:17 1466128397 0x6; 26 rTX 1
2016-06-17_03:57:16 1466128636 0x5; 28 rTX 0
2016-06-17_04:07:16 1466129236 0x5; 33 rTX 0
2016-06-17_04:11:12 1466129472 0x2; 35 rTX 0
2016-06-17_04:17:12 1466129832 0x2; 38 rTX 0
2016-06-17_04:27:12 1466130432 0x2; 43 rTX 0
2016-06-17_04:27:12 1466130432 0x2; 43 rTX 1
2016-06-17_04:27:12 1466130432 0x2; 43 rTX 2
2016-06-17_04:33:12 1466130792 0x2; 46 rTX 0
2016-06-17_04:33:12 1466130792 0x2; 46 rTX 1
2016-06-17_04:37:12 1466131032 0x2; 48 rTX 0
2016-06-17_04:37:12 1466131032 0x2; 48 rTX 1
2016-06-17_04:43:12 1466131392 0x2; 51 rTX 0
2016-06-17_04:43:12 1466131392 0x2; 51 rTX 1
2016-06-17_04:43:12 1466131392 0x2; 51 rTX 2
2016-06-17_04:47:17 1466131637 0x6; 53 rTX 0
2016-06-17_04:49:17 1466131757 0x6; 54 rTX 0
2016-06-17_04:49:17 1466131757 0x6; 54 rTX 1
2016-06-17_04:57:17 1466132237 0x6; 58 rTX 0
2016-06-17_04:57:17 1466132237 0x6; 58 rTX 1
2016-06-17_05:03:15 1466132595 0x5; 61 rTX 0
2016-06-17_05:05:15 1466132715 0x5; 62 rTX 0
2016-06-17_05:05:16 1466132716 0x5; 62 rTX 1
2016-06-17_05:05:16 1466132716 0x5; 62 rTX 2
2016-06-17_05:05:16 1466132716 0x5; 62 rTX 3
2016-06-17_05:05:16 1466132716 0x5; 62 rTX 4
2016-06-17_05:05:16 1466132716 0x5; 62 rTX 5
