13 Apr 23:55:51 ntpdate[2384]: no server suitable for synchronization found
14 Apr 02:59:53 ntpdate[2388]: step time server 192.168.1.1 offset 9902.977464 sec
14 Apr 10:19:55 ntpdate[2381]: step time server 192.168.1.1 offset 22.055445 sec
14 Apr 10:40:28 ntpdate[2402]: step time server 192.168.1.1 offset 19.301691 sec
14 Apr 11:21:31 ntpdate[2394]: step time server 192.168.1.1 offset 20.344803 sec
14 Apr 12:01:23 ntpdate[2386]: step time server 192.168.1.1 offset 20.112958 sec
14 Apr 12:41:24 ntpdate[2387]: step time server 192.168.1.1 offset 19.488327 sec
14 Apr 13:21:20 ntpdate[2381]: step time server 192.168.1.1 offset 20.130523 sec
14 Apr 14:01:24 ntpdate[2386]: step time server 192.168.1.1 offset 19.999527 sec
14 Apr 15:01:21 ntpdate[2389]: step time server 192.168.1.1 offset 20.523398 sec
14 Apr 15:41:21 ntpdate[2387]: step time server 192.168.1.1 offset 19.880489 sec
14 Apr 16:21:23 ntpdate[2378]: step time server 192.168.1.1 offset 19.604705 sec
14 Apr 17:01:21 ntpdate[2387]: step time server 192.168.1.1 offset 21.030446 sec
14 Apr 17:41:24 ntpdate[2372]: step time server 192.168.1.1 offset 19.930060 sec
14 Apr 18:01:24 ntpdate[2380]: step time server 192.168.1.1 offset 19.901821 sec
14 Apr 18:41:30 ntpdate[2526]: step time server 192.168.1.1 offset 21.674965 sec
14 Apr 19:01:02 ntpdate[2389]: no server suitable for synchronization found
14 Apr 19:21:36 ntpdate[2388]: step time server 192.168.1.1 offset 42.567809 sec
14 Apr 23:55:50 ntpdate[2377]: no server suitable for synchronization found
15 Apr 02:59:44 ntpdate[2390]: step time server 192.168.1.1 offset 9895.194792 sec
15 Apr 03:39:40 ntpdate[2377]: step time server 192.168.1.1 offset 20.026888 sec
15 Apr 04:39:24 ntpdate[2381]: step time server 192.168.1.1 offset 19.606953 sec
15 Apr 05:39:24 ntpdate[2375]: step time server 192.168.1.1 offset 20.173488 sec
15 Apr 06:19:27 ntpdate[2375]: step time server 192.168.1.1 offset 23.309016 sec
15 Apr 06:59:21 ntpdate[2389]: step time server 192.168.1.1 offset 19.649483 sec
15 Apr 07:19:23 ntpdate[2391]: step time server 192.168.1.1 offset 21.289130 sec
15 Apr 07:59:24 ntpdate[2390]: step time server 192.168.1.1 offset 19.941961 sec
15 Apr 08:39:21 ntpdate[2389]: step time server 192.168.1.1 offset 20.069657 sec
15 Apr 09:19:23 ntpdate[2368]: step time server 192.168.1.1 offset 20.538210 sec
15 Apr 09:59:44 ntpdate[2374]: step time server 192.168.1.1 offset 19.977800 sec
