2016-04-28_02:53:29 1461804809 0xA, 9 6 2.27 2.11-0.51
2016-04-28_02:55:29 1461804929 0xA, 9 7 2.24 1.88-1.24
2016-04-28_02:57:29 1461805049 0xA, 9 8 2.07 1.96-0.42
2016-04-28_02:59:29 1461805169 0xA, 9 9 1.91 2.11 0.70
2016-04-28_03:01:29 1461805289 0xA, 9 10 2.35 1.91-1.46
2016-04-28_03:03:29 1461805409 0xA, 9 11 1.88 2.11 0.85
2016-04-28_03:05:29 1461805529 0xA, 9 12 2.16 1.79-1.29
2016-04-28_03:07:29 1461805649 0xA, 9 13 2.31 1.72-2.11
2016-04-28_03:09:29 1461805769 0xA, 9 14 2.20 1.67-1.90
2016-04-28_03:11:29 1461805889 0xA, 9 15 2.59 1.72-2.92
2016-04-28_03:13:29 1461806009 0xA, 9 16 2.55 1.79-2.49
2016-04-28_03:15:29 1461806129 0xA, 9 17 2.40 1.84-1.88
2016-04-28_03:17:29 1461806249 0xA, 9 18 2.24 1.84-1.39
2016-04-28_03:19:29 1461806369 0xA, 9 19 1.91 1.67-0.94
2016-04-28_03:21:29 1461806489 0xA, 9 20 1.88 1.55-1.32
2016-04-28_03:23:29 1461806609 0xA, 9 21 2.48 2.16-0.97
2016-04-28_03:25:29 1461806729 0xA, 9 22 2.03 1.84-0.73
2016-04-28_03:27:29 1461806849 0xA, 9 23 3.00 1.79-3.61
2016-04-28_03:29:29 1461806969 0xA, 9 24 1.60 1.60 0.00
2016-04-28_03:31:29 1461807089 0xA, 9 25 2.11 2.03-0.27
2016-04-28_03:35:30 1461807330 0xA, 9 27 2.11 2.03-0.27
2016-04-28_03:37:29 1461807449 0xA, 9 28 2.16 1.72-1.61
2016-04-28_03:39:29 1461807569 0xA, 9 29 2.40 1.72-2.35
2016-04-28_03:43:29 1461807809 0xA, 9 31 1.96 1.91-0.14
2016-04-28_03:45:29 1461807929 0xA, 9 32 2.35 1.88-1.61
2016-04-28_03:47:29 1461808049 0xA, 9 33 2.20 1.64-2.08
2016-04-28_03:49:29 1461808169 0xA, 9 34 2.03 1.91-0.42
2016-04-28_03:51:29 1461808289 0xA, 9 35 2.16 1.72-1.61
2016-04-28_03:53:29 1461808409 0xA, 9 36 2.16 1.64-1.95
2016-04-28_03:55:29 1461808529 0xA, 9 37 2.64 2.00-1.96
2016-04-28_03:57:29 1461808649 0xA, 9 38 2.68 1.84-2.66
2016-04-28_03:59:29 1461808769 0xA, 9 39 2.52 1.88-2.07
2016-04-28_04:01:29 1461808889 0xA, 9 40 2.31 2.20-0.37
2016-04-28_04:03:29 1461809009 0xA, 9 41 2.35 1.76-2.07
2016-04-28_04:05:29 1461809129 0xA, 9 42 2.52 1.64-3.04
2016-04-28_04:07:29 1461809249 0xA, 9 43 2.40 1.67-2.52
2016-04-28_04:09:29 1461809369 0xA, 9 44 2.27 1.39-3.45
2016-04-28_04:11:29 1461809489 0xA, 9 45 2.24 2.27 0.12
2016-04-28_04:13:29 1461809609 0xA, 9 46 2.16 2.24 0.25
2016-04-28_04:19:30 1461809970 0xA, 9 49 2.44 2.16-0.86
