2016-05-08_02:53:36 1462668817 0xB, 9 6 2.07 1.64-1.68
2016-05-08_02:55:04 1462668904 0xB, A 5 1.84 1.59-0.98
2016-05-08_02:55:36 1462668936 0xB, 9 7 2.64 1.76-2.87
2016-05-08_02:57:04 1462669024 0xB, A 6 1.76 1.56-0.85
2016-05-08_02:57:36 1462669056 0xB, 9 8 2.16 1.60-2.12
2016-05-08_02:59:04 1462669144 0xB, A 7 1.88 1.87-0.00
2016-05-08_02:59:36 1462669176 0xB, 9 9 1.79 1.55-1.01
2016-05-08_03:01:04 1462669264 0xB, A 8 1.55 1.47-0.37
2016-05-08_03:01:36 1462669296 0xB, 9 10 2.83 1.84-3.07
2016-05-08_03:03:04 1462669384 0xB, A 9 1.39 1.35-0.20
2016-05-08_03:03:36 1462669416 0xB, 9 11 1.84 1.44-1.73
2016-05-08_03:05:04 1462669504 0xB, A 10 1.88 1.51-1.50
2016-05-08_03:05:36 1462669536 0xB, 9 12 2.20 1.44-3.00
2016-05-08_03:07:04 1462669624 0xB, A 11 1.67 1.44-1.09
2016-05-08_03:07:36 1462669656 0xB, 9 13 2.07 1.96-0.42
2016-05-08_03:09:04 1462669744 0xB, A 12 1.76 1.35-1.82
2016-05-08_03:09:36 1462669776 0xB, 9 14 2.03 2.24 0.66
2016-05-08_03:11:04 1462669864 0xB, A 13 2.16 1.79-1.29
2016-05-08_03:11:36 1462669896 0xB, 9 15 2.07 1.44-2.60
2016-05-08_03:13:04 1462669984 0xB, A 14 1.96 1.19-3.47
2016-05-08_03:13:36 1462670016 0xB, 9 16 1.84 1.72-0.47
2016-05-08_03:15:04 1462670104 0xB, A 15 1.39 1.72 1.45
2016-05-08_03:15:36 1462670136 0xB, 9 17 2.00 1.67-1.23
2016-05-08_03:17:04 1462670224 0xB, A 16 2.16 2.07-0.26
2016-05-08_03:17:36 1462670256 0xB, 9 18 2.11 1.15-4.26
2016-05-08_03:19:04 1462670344 0xB, A 17 1.64 1.91 1.11
2016-05-08_03:19:36 1462670376 0xB, 9 19 2.11 1.76-1.31
2016-05-08_03:21:04 1462670464 0xB, A 18 2.00 1.19-3.61
2016-05-08_03:21:36 1462670496 0xB, 9 20 2.11 1.12-4.51
2016-05-08_03:23:04 1462670584 0xB, A 19 1.88 1.56-1.32
2016-05-08_03:23:36 1462670616 0xB, 9 21 2.11 1.60-1.99
2016-05-08_03:25:04 1462670704 0xB, A 20 1.79 1.72-0.32
2016-05-08_03:25:36 1462670736 0xB, 9 22 2.27 1.72-1.99
2016-05-08_03:27:04 1462670824 0xB, A 21 1.67 1.35-1.49
2016-05-08_03:27:36 1462670856 0xB, 9 23 2.24 2.00-0.80
2016-05-08_03:29:04 1462670944 0xB, A 22 2.31 1.59-2.63
2016-05-08_03:29:36 1462670976 0xB, 9 24 2.00 1.88-0.43
2016-05-08_03:31:04 1462671064 0xB, A 23 2.27 1.56-2.68
2016-05-08_03:31:36 1462671096 0xB, 9 25 1.91 1.60-1.29
2016-05-08_03:33:04 1462671184 0xB, A 24 1.79 1.67-0.48
2016-05-08_03:33:36 1462671216 0xB, 9 26 2.96 1.72-3.84
2016-05-08_03:35:04 1462671304 0xB, A 25 1.76 1.79 0.15
2016-05-08_03:35:37 1462671337 0xB, 9 27 2.52 1.52-3.57
2016-05-08_03:37:04 1462671424 0xB, A 26 1.64 2.47 2.92
2016-05-08_03:37:36 1462671456 0xB, 9 28 2.31 1.44-3.37
2016-05-08_03:39:04 1462671544 0xB, A 27 1.84 1.63-0.81
2016-05-08_03:39:36 1462671576 0xB, 9 29 2.07 1.67-1.51
2016-05-08_03:41:04 1462671664 0xB, A 28 1.96 2.00 0.14
2016-05-08_03:41:36 1462671696 0xB, 9 30 2.24 1.32-3.74
2016-05-08_03:43:04 1462671784 0xB, A 29 1.52 1.28-1.21
2016-05-08_03:43:36 1462671816 0xB, 9 31 2.07 1.72-1.34
2016-05-08_03:45:04 1462671904 0xB, A 30 1.67 2.00 1.23
2016-05-08_03:45:36 1462671936 0xB, 9 32 2.40 1.84-1.88
2016-05-08_03:47:04 1462672024 0xB, A 31 1.64 1.31-1.53
2016-05-08_03:47:36 1462672056 0xB, 9 33 2.55 2.03-1.60
2016-05-08_03:49:04 1462672144 0xB, A 32 1.79 1.28-2.41
2016-05-08_03:49:36 1462672176 0xB, 9 34 2.24 1.72-1.87
2016-05-08_03:51:04 1462672264 0xB, A 33 1.88 2.00 0.43
2016-05-08_03:51:36 1462672296 0xB, 9 35 2.07 1.44-2.60
2016-05-08_03:53:04 1462672384 0xB, A 34 1.84 2.19 1.26
2016-05-08_03:53:36 1462672416 0xB, 9 36 2.44 1.24-4.79
2016-05-08_03:55:04 1462672504 0xB, A 35 1.55 1.31-1.18
2016-05-08_03:55:36 1462672536 0xB, 9 37 1.84 1.48-1.54
2016-05-08_03:57:04 1462672624 0xB, A 36 1.88 2.12 0.85
2016-05-08_03:57:36 1462672656 0xB, 9 38 2.11 1.64-1.81
2016-05-08_03:59:04 1462672744 0xB, A 37 1.72 1.59-0.51
2016-05-08_03:59:36 1462672776 0xB, 9 39 2.07 1.67-1.51
2016-05-08_04:01:04 1462672864 0xB, A 38 1.96 1.83-0.44
2016-05-08_04:01:36 1462672896 0xB, 9 40 2.72 1.36-4.90
2016-05-08_04:03:04 1462672984 0xB, A 39 1.91 1.79-0.45
2016-05-08_04:03:36 1462673016 0xB, 9 41 2.07 1.48-2.40
2016-05-08_04:05:04 1462673104 0xB, A 40 1.84 1.47-1.54
2016-05-08_04:05:36 1462673136 0xB, 9 42 2.55 1.36-4.47
2016-05-08_04:07:04 1462673224 0xB, A 41 2.11 1.59-1.99
2016-05-08_04:07:36 1462673256 0xB, 9 43 1.96 1.79-0.60
2016-05-08_04:09:04 1462673344 0xB, A 42 1.79 2.03 0.88
2016-05-08_04:09:36 1462673376 0xB, 9 44 1.84 1.72-0.47
2016-05-08_04:11:04 1462673464 0xB, A 43 1.88 1.63-0.96
2016-05-08_04:11:36 1462673496 0xB, 9 45 2.16 1.55-2.30
2016-05-08_04:13:04 1462673584 0xB, A 44 1.91 1.47-1.84
2016-05-08_04:13:36 1462673616 0xB, 9 46 3.11 1.91-3.43
2016-05-08_04:15:04 1462673704 0xB, A 45 1.84 1.59-0.98
2016-05-08_04:15:36 1462673736 0xB, 9 47 2.72 1.96-2.32
2016-05-08_04:17:04 1462673824 0xB, A 46 1.84 1.63-0.81
2016-05-08_04:17:36 1462673856 0xB, 9 48 2.20 1.60-2.25
2016-05-08_04:19:04 1462673944 0xB, A 47 2.44 1.83-1.99
2016-05-08_04:19:36 1462673976 0xB, 9 49 2.55 1.52-3.69
2016-05-08_04:21:04 1462674064 0xB, A 48 1.76 2.03 1.04
2016-05-08_04:21:36 1462674096 0xB, 9 50 1.72 1.55-0.69
2016-05-08_04:23:04 1462674184 0xB, A 49 1.84 1.51-1.35
2016-05-08_04:23:36 1462674216 0xB, 9 51 1.72 1.76 0.16
2016-05-08_04:25:04 1462674304 0xB, A 50 1.39 2.00 2.52
2016-05-08_04:25:36 1462674336 0xB, 9 52 2.48 1.79-2.26
2016-05-08_04:27:04 1462674424 0xB, A 51 1.79 1.47-1.38
2016-05-08_04:27:36 1462674456 0xB, 9 53 2.11 1.84-1.00
2016-05-08_04:29:04 1462674544 0xB, A 52 1.52 2.07 2.22
2016-05-08_04:29:36 1462674576 0xB, 9 54 2.00 1.88-0.43
2016-05-08_04:31:04 1462674664 0xB, A 53 2.48 1.83-2.11
2016-05-08_04:31:36 1462674696 0xB, 9 55 2.07 1.36-3.00
2016-05-08_04:33:04 1462674784 0xB, A 54 1.60 1.28-1.58
2016-05-08_04:33:36 1462674816 0xB, 9 56 2.40 1.60-2.87
2016-05-08_04:35:03 1462674903 0xB, A 55 1.76 1.23-2.47
2016-05-08_04:35:36 1462674936 0xB, 9 57 2.35 1.64-2.57
2016-05-08_04:37:03 1462675023 0xB, A 56 1.36 1.39 0.20
2016-05-08_04:37:36 1462675056 0xB, 9 58 2.48 1.15-5.38
2016-05-08_04:39:03 1462675143 0xB, A 57 2.16 1.39-3.07
2016-05-08_04:39:36 1462675176 0xB, 9 59 1.91 1.76-0.61
2016-05-08_04:41:03 1462675263 0xB, A 58 2.59 1.63-3.26
2016-05-08_04:41:36 1462675296 0xB, 9 60 2.31 1.91-1.34
2016-05-08_04:43:03 1462675383 0xB, A 59 1.67 1.56-0.52
2016-05-08_04:43:36 1462675416 0xB, 9 61 2.11 1.48-2.54
2016-05-08_04:45:03 1462675503 0xB, A 60 1.84 1.72-0.47
2016-05-08_04:45:36 1462675536 0xB, 9 62 2.03 1.44-2.46
2016-05-08_04:47:04 1462675624 0xB, A 61 1.96 1.39-2.38
2016-05-08_04:47:36 1462675656 0xB, 9 63 2.35 1.55-2.93
2016-05-08_04:49:03 1462675743 0xB, A 62 2.00 1.75-0.90
2016-05-08_04:49:36 1462675776 0xB, 9 64 2.07 1.76-1.18
2016-05-08_04:51:03 1462675863 0xB, A 63 1.60 1.67 0.34
2016-05-08_04:51:36 1462675896 0xB, 9 65 2.72 1.39-4.70
2016-05-08_04:53:03 1462675983 0xB, A 64 2.72 1.63-3.58
2016-05-08_04:53:36 1462676016 0xB, 9 66 2.64 2.07-1.68
2016-05-08_04:55:03 1462676103 0xB, A 65 1.55 1.72 0.69
2016-05-08_04:55:36 1462676136 0xB, 9 67 2.52 2.07-1.35
2016-05-08_04:57:04 1462676224 0xB, A 66 1.79 1.87 0.30
2016-05-08_04:57:36 1462676256 0xB, 9 68 2.79 1.88-2.82
2016-05-08_04:59:03 1462676343 0xB, A 67 2.35 2.39 0.11
2016-05-08_04:59:36 1462676376 0xB, 9 69 2.83 2.16-1.93
2016-05-08_05:01:03 1462676463 0xB, A 68 2.92 2.39-1.38
2016-05-08_05:01:36 1462676496 0xB, 9 70 3.27 2.44-2.09
2016-05-08_05:03:03 1462676583 0xB, A 69 3.07 2.47-1.53
2016-05-08_05:03:36 1462676616 0xB, 9 71 3.48 3.03-0.95
2016-05-08_05:05:03 1462676703 0xB, A 70 2.88 2.51-0.94
2016-05-08_05:05:36 1462676736 0xB, 9 72 4.19 3.24-1.83
2016-05-08_05:07:03 1462676823 0xB, A 71 3.27 3.35 0.17
2016-05-08_05:07:36 1462676856 0xB, 9 73 4.80 3.52-2.19
