2016-06-05_03:14:12 1465089252 0xB, A 5 1.88 1.72-0.62
2016-06-05_03:15:03 1465089303 0xB, 9 7 1.84 2.07 0.86
2016-06-05_03:16:12 1465089372 0xB, A 6 1.48 1.95 1.98
2016-06-05_03:17:03 1465089423 0xB, 9 8 2.72 2.07-1.89
2016-06-05_03:18:12 1465089492 0xB, A 7 1.84 1.67-0.64
2016-06-05_03:19:03 1465089543 0xB, 9 9 2.07 1.91-0.56
2016-06-05_03:20:12 1465089612 0xB, A 8 1.72 1.51-0.87
2016-06-05_03:21:03 1465089663 0xB, 9 10 2.48 1.79-2.26
2016-06-05_03:22:11 1465089731 0xB, A 9 1.96 1.51-1.80
2016-06-05_03:23:03 1465089783 0xB, 9 11 2.27 1.91-1.21
2016-06-05_03:24:11 1465089851 0xB, A 10 1.55 1.75 0.85
2016-06-05_03:25:03 1465089903 0xB, 9 12 2.40 1.60-2.87
2016-06-05_03:26:11 1465089971 0xB, A 11 1.72 1.63-0.33
2016-06-05_03:27:03 1465090023 0xB, 9 13 2.07 1.72-1.34
2016-06-05_03:28:11 1465090091 0xB, A 12 1.64 1.59-0.17
2016-06-05_03:29:03 1465090143 0xB, 9 14 2.03 1.36-2.87
2016-06-05_03:30:11 1465090211 0xB, A 13 2.03 1.28-3.30
2016-06-05_03:31:03 1465090263 0xB, 9 15 1.79 1.44-1.58
2016-06-05_03:32:11 1465090331 0xB, A 14 1.72 1.51-0.87
2016-06-05_03:33:03 1465090383 0xB, 9 16 2.40 1.76-2.19
2016-06-05_03:34:12 1465090452 0xB, A 15 1.96 1.63-1.26
2016-06-05_03:35:03 1465090503 0xB, 9 17 2.40 1.60-2.87
2016-06-05_03:36:12 1465090572 0xB, A 16 1.60 1.87 1.14
2016-06-05_03:37:03 1465090623 0xB, 9 18 2.40 1.76-2.19
2016-06-05_03:38:11 1465090691 0xB, A 17 2.40 1.44-3.61
2016-06-05_03:39:03 1465090743 0xB, 9 19 2.35 1.44-3.49
2016-06-05_03:40:11 1465090811 0xB, A 18 1.88 1.95 0.29
2016-06-05_03:41:03 1465090863 0xB, 9 20 2.20 1.91-0.96
2016-06-05_03:42:11 1465090931 0xB, A 19 2.03 2.63 1.82
2016-06-05_03:43:03 1465090983 0xB, 9 21 2.24 1.72-1.87
2016-06-05_03:44:11 1465091051 0xB, A 20 1.60 2.31 2.63
2016-06-05_03:45:03 1465091103 0xB, 9 22 2.16 1.88-0.98
2016-06-05_03:46:11 1465091171 0xB, A 21 1.79 2.56 2.49
2016-06-05_03:47:03 1465091223 0xB, 9 23 2.11 1.64-1.81
2016-06-05_03:48:11 1465091291 0xB, A 22 1.96 1.79-0.60
2016-06-05_03:49:03 1465091343 0xB, 9 24 2.31 1.64-2.45
2016-06-05_03:50:11 1465091411 0xB, A 23 1.96 1.67-1.09
2016-06-05_03:51:03 1465091463 0xB, 9 25 2.48 1.64-2.92
2016-06-05_03:52:11 1465091531 0xB, A 24 1.55 1.39-0.76
2016-06-05_03:53:03 1465091583 0xB, 9 26 2.64 1.79-2.71
2016-06-05_03:54:11 1465091651 0xB, A 25 1.64 1.63-0.00
2016-06-05_03:55:03 1465091703 0xB, 9 27 2.48 1.36-4.25
2016-06-05_03:56:11 1465091771 0xB, A 26 1.67 1.31-1.70
2016-06-05_03:57:03 1465091823 0xB, 9 28 2.35 1.44-3.49
2016-06-05_03:58:11 1465091891 0xB, A 27 1.79 1.44-1.58
2016-06-05_03:59:03 1465091943 0xB, 9 29 2.48 1.55-3.28
2016-06-05_04:00:11 1465092011 0xB, A 28 1.52 1.56 0.18
2016-06-05_04:01:03 1465092063 0xB, 9 30 2.16 1.76-1.45
2016-06-05_04:02:11 1465092131 0xB, A 29 2.20 1.56-2.43
2016-06-05_04:03:03 1465092183 0xB, 9 31 2.16 1.84-1.13
2016-06-05_04:04:11 1465092251 0xB, A 30 2.00 1.67-1.23
2016-06-05_04:05:03 1465092303 0xB, 9 32 3.07 1.84-3.64
2016-06-05_04:06:11 1465092371 0xB, A 31 1.91 2.00 0.28
2016-06-05_04:07:03 1465092423 0xB, 9 33 2.31 1.67-2.28
2016-06-05_04:08:11 1465092491 0xB, A 32 2.16 2.07-0.26
2016-06-05_04:09:03 1465092543 0xB, 9 34 2.48 1.72-2.59
2016-06-05_04:10:11 1465092611 0xB, A 33 2.07 1.59-1.85
2016-06-05_04:11:03 1465092663 0xB, 9 35 2.31 1.79-1.79
2016-06-05_04:12:11 1465092731 0xB, A 34 2.16 2.15-0.00
2016-06-05_04:13:03 1465092783 0xB, 9 36 2.40 1.96-1.43
2016-06-05_04:14:11 1465092851 0xB, A 35 1.76 2.31 1.95
2016-06-05_04:15:03 1465092903 0xB, 9 37 2.31 1.91-1.34
2016-06-05_04:16:11 1465092971 0xB, A 36 2.00 2.59 1.85
2016-06-05_04:17:03 1465093023 0xB, 9 38 2.44 2.20-0.73
2016-06-05_04:18:11 1465093091 0xB, A 37 2.27 1.95-1.07
2016-06-05_04:19:03 1465093143 0xB, 9 39 2.68 2.11-1.65
2016-06-05_04:20:11 1465093211 0xB, A 38 2.20 2.59 1.18
2016-06-05_04:21:03 1465093263 0xB, 9 40 3.20 2.20-2.65
2016-06-05_04:22:11 1465093331 0xB, A 39 2.27 2.15-0.38
2016-06-05_04:23:03 1465093383 0xB, 9 41 3.07 2.64-1.09
2016-06-05_04:24:11 1465093451 0xB, A 40 2.68 2.27-1.14
2016-06-05_04:25:03 1465093503 0xB, 9 42 3.48 2.52-2.28
2016-06-05_04:26:11 1465093571 0xB, A 41 3.76 3.27-0.96
2016-06-05_04:27:03 1465093623 0xB, 9 43 3.68 2.55-2.56
2016-06-05_04:28:11 1465093691 0xB, A 42 3.31 3.12-0.43
2016-06-05_04:29:03 1465093743 0xB, 9 44 4.15 3.20-1.85
2016-06-05_04:30:11 1465093811 0xB, A 43 3.55 3.91 0.68
2016-06-05_04:31:03 1465093863 0xB, 9 45 4.55 3.64-1.59
2016-06-05_04:32:11 1465093931 0xB, A 44 3.92 4.24 0.55
2016-06-05_04:33:03 1465093983 0xB, 9 46 5.07 4.11-1.48
2016-06-05_04:34:11 1465094051 0xB, A 45 4.55 4.12-0.71
2016-06-05_04:35:03 1465094103 0xB, 9 47 5.88 4.63-1.67
2016-06-05_04:36:11 1465094171 0xB, A 46 5.36 5.03-0.43
2016-06-05_04:37:03 1465094223 0xB, 9 48 6.71 5.55-1.34
2016-06-05_04:38:11 1465094291 0xB, A 47 6.23 6.19-0.04
2016-06-05_04:39:03 1465094343 0xB, 9 49 7.88 6.23-1.65
2016-06-05_04:40:11 1465094411 0xB, A 48 7.52 7.12-0.38
2016-06-05_04:41:03 1465094463 0xB, 9 50 8.96 7.44-1.31
2016-06-05_04:42:11 1465094531 0xB, A 49 9.27 8.24-0.84
2016-06-05_04:43:03 1465094583 0xB, 9 51 9.88 8.76-0.85
2016-06-05_04:44:11 1465094651 0xB, A 50 10.07 9.63-0.31
2016-06-05_04:45:03 1465094703 0xB, 9 52 12.11 10.31-1.13
2016-06-05_04:46:11 1465094771 0xB, A 51 11.96 11.15-0.49
2016-06-05_04:47:03 1465094823 0xB, 9 53 14.23 12.19-1.09
2016-06-05_04:48:11 1465094891 0xB, A 52 14.15 13.48-0.34
2016-06-05_04:49:03 1465094943 0xB, 9 54 17.04 14.47-1.15
2016-06-05_04:50:11 1465095011 0xB, A 53 16.79 15.48-0.57
2016-06-05_04:51:03 1465095063 0xB, 9 55 19.79 16.92-1.11
2016-06-05_04:52:11 1465095131 0xB, A 54 19.20 18.23-0.36
2016-06-05_04:53:03 1465095183 0xB, 9 56 23.04 19.60-1.14
2016-06-05_04:54:11 1465095251 0xB, A 55 21.87 21.27-0.19
2016-06-05_04:55:03 1465095303 0xB, 9 57 26.39 22.76-1.05
2016-06-05_04:56:11 1465095371 0xB, A 56 25.68 24.75-0.25
2016-06-05_04:57:03 1465095423 0xB, 9 58 30.15 25.95-1.06
2016-06-05_04:58:11 1465095491 0xB, A 57 29.44 27.96-0.36
2016-06-05_04:59:03 1465095543 0xB, 9 59 34.31 29.31-1.11
2016-06-05_05:00:11 1465095611 0xB, A 58 34.00 32.11-0.40
2016-06-05_05:01:03 1465095663 0xB, 9 60 38.52 34.00-0.88
