2016-05-04_14:00:50 1462363250 0x3; 336 rTX 0
2016-05-04_14:00:50 1462363250 0x3; 336 rTX 1
2016-05-04_14:00:50 1462363250 0x3; 336 rTX 2
2016-05-04_14:00:50 1462363250 0x3; 336 rTX 3
2016-05-04_14:00:50 1462363250 0x3; 336 rTX 4
2016-05-04_14:00:50 1462363250 0x3; 336 rTX 5
2016-05-04_14:00:50 1462363250 0x3; 336 rTX 6
2016-05-04_14:00:50 1462363250 0x3; 336 rTX 7
2016-05-04_14:00:51 1462363251 0x4; 336 rTX 0
2016-05-04_14:00:51 1462363251 0x4; 336 rTX 1
2016-05-04_14:00:51 1462363251 0x4; 336 rTX 2
2016-05-04_14:00:51 1462363251 0x4; 336 rTX 3
2016-05-04_14:00:51 1462363251 0x4; 336 rTX 4
2016-05-04_14:00:51 1462363251 0x4; 336 rTX 5
2016-05-04_14:00:51 1462363251 0x4; 336 rTX 6
2016-05-04_14:00:52 1462363252 0x4; 336 rTX 7
2016-05-04_14:00:52 1462363252 0x3; 336 rTX 8
2016-05-04_14:00:53 1462363253 0x4; 336 rTX 8
2016-05-04_14:00:53 1462363253 0x7; 336 rTX 0
2016-05-04_14:00:53 1462363253 0x7; 336 rTX 1
2016-05-04_14:00:53 1462363253 0x7; 336 rTX 2
2016-05-04_14:00:53 1462363253 0x7; 336 rTX 3
2016-05-04_14:00:53 1462363253 0x7; 336 rTX 4
2016-05-04_14:00:53 1462363253 0x7; 336 rTX 5
2016-05-04_14:00:53 1462363253 0x7; 336 rTX 6
2016-05-04_14:00:54 1462363254 0x8; 336 rTX 0
2016-05-04_14:00:54 1462363254 0x8; 336 rTX 1
2016-05-04_14:00:54 1462363254 0x8; 336 rTX 2
2016-05-04_14:00:54 1462363254 0x8; 336 rTX 3
2016-05-04_14:00:54 1462363254 0x8; 336 rTX 4
2016-05-04_14:00:54 1462363254 0x3; 336 rTX 9
2016-05-04_14:00:54 1462363254 0x8; 336 rTX 5
2016-05-04_14:00:54 1462363254 0x7; 336 rTX 7
2016-05-04_14:00:54 1462363254 0x8; 336 rTX 6
2016-05-04_14:00:55 1462363255 0x8; 336 rTX 7
2016-05-04_14:00:56 1462363256 0x4; 336 rTX 9
2016-05-04_14:00:56 1462363256 0x7; 336 rTX 8
2016-05-04_14:00:56 1462363256 0x8; 336 rTX 8
2016-05-04_14:00:58 1462363258 0x3; 336 rTX 10
2016-05-04_14:00:59 1462363259 0x8; 336 rTX 9
2016-05-04_14:01:00 1462363260 0x7; 336 rTX 9
