2016-05-10_03:32:08 1462843928 0x3; 22 rTXERR
2016-05-10_03:32:42 1462843962 0x3; 25 rTX 0
2016-05-10_03:32:42 1462843962 0x3; 25 rTX 1
2016-05-10_03:32:42 1462843962 0x3; 25 rTX 2
2016-05-10_03:32:42 1462843962 0x3; 25 rTX 3
2016-05-10_03:32:42 1462843962 0x3; 25 rTX 4
2016-05-10_03:32:42 1462843962 0x3; 25 rTX 5
2016-05-10_03:32:43 1462843963 0x3; 25 rTX 6
2016-05-10_03:32:43 1462843963 0x3; 25 rTX 7
2016-05-10_03:32:43 1462843963 0x4; 25 rTX 0
2016-05-10_03:32:44 1462843964 0x3; 25 rTX 8
2016-05-10_03:32:46 1462843966 0x7; 26 rTX 0
2016-05-10_03:32:46 1462843966 0x7; 26 rTX 1
2016-05-10_03:32:46 1462843966 0x7; 26 rTX 2
2016-05-10_03:32:46 1462843966 0x7; 26 rTX 3
2016-05-10_03:32:46 1462843966 0x7; 26 rTX 4
2016-05-10_03:32:46 1462843966 0x7; 26 rTX 5
2016-05-10_03:32:47 1462843967 0x7; 26 rTX 6
2016-05-10_03:32:47 1462843967 0x7; 26 rTX 7
2016-05-10_03:32:47 1462843967 0x8; 26 rTX 0
2016-05-10_03:32:47 1462843967 0x8; 26 rTX 1
2016-05-10_03:32:47 1462843967 0x8; 26 rTX 2
2016-05-10_03:32:47 1462843967 0x8; 26 rTX 3
2016-05-10_03:32:47 1462843967 0x8; 26 rTX 4
2016-05-10_03:32:47 1462843967 0x8; 26 rTX 5
2016-05-10_03:32:48 1462843968 0x8; 26 rTX 6
2016-05-10_03:32:48 1462843968 0x3; 25 rTX 9
2016-05-10_03:32:48 1462843968 0x7; 26 rTX 8
2016-05-10_03:32:48 1462843968 0x8; 26 rTX 7
2016-05-10_03:32:50 1462843970 0x8; 26 rTX 8
2016-05-10_03:32:51 1462843971 0x7; 26 rTX 9
2016-05-10_03:32:53 1462843973 0x8; 26 rTX 9
2016-05-10_03:32:54 1462843974 0x3; 25 rTX 10
2016-05-10_03:32:57 1462843977 0x7; 26 rTX 10
2016-05-10_03:32:58 1462843978 0x8; 26 rTX 10
2016-05-10_03:33:06 1462843986 0x7; 26 rTXERR
2016-05-10_03:33:07 1462843987 0x3; 25 rTXERR
2016-05-10_03:33:13 1462843993 0x8; 26 rTXERR
2016-05-10_03:34:42 1462844082 0x3; 26 rTX 0
2016-05-10_03:34:42 1462844082 0x3; 26 rTX 1
2016-05-10_03:34:42 1462844082 0x3; 26 rTX 2
2016-05-10_03:34:42 1462844082 0x3; 26 rTX 3
2016-05-10_03:34:42 1462844082 0x3; 26 rTX 4
2016-05-10_03:34:42 1462844082 0x3; 26 rTX 5
2016-05-10_03:34:43 1462844083 0x3; 26 rTX 6
2016-05-10_03:34:43 1462844083 0x4; 26 rTX 0
2016-05-10_03:34:43 1462844083 0x3; 26 rTX 7
2016-05-10_03:34:45 1462844085 0x3; 26 rTX 8
2016-05-10_03:34:46 1462844086 0x7; 27 rTX 0
2016-05-10_03:34:46 1462844086 0x7; 27 rTX 1
2016-05-10_03:34:46 1462844086 0x7; 27 rTX 2
2016-05-10_03:34:46 1462844086 0x7; 27 rTX 3
2016-05-10_03:34:46 1462844086 0x7; 27 rTX 4
2016-05-10_03:34:46 1462844086 0x7; 27 rTX 5
2016-05-10_03:34:47 1462844087 0x7; 27 rTX 6
2016-05-10_03:34:47 1462844087 0x8; 27 rTX 0
2016-05-10_03:34:47 1462844087 0x8; 27 rTX 1
2016-05-10_03:34:47 1462844087 0x8; 27 rTX 2
2016-05-10_03:34:47 1462844087 0x8; 27 rTX 3
2016-05-10_03:34:47 1462844087 0x8; 27 rTX 4
2016-05-10_03:34:47 1462844087 0x7; 27 rTX 7
2016-05-10_03:34:47 1462844087 0x8; 27 rTX 5
2016-05-10_03:34:48 1462844088 0x8; 27 rTX 6
2016-05-10_03:34:48 1462844088 0x3; 26 rTX 9
2016-05-10_03:34:49 1462844089 0x8; 27 rTX 7
2016-05-10_03:34:49 1462844089 0x7; 27 rTX 8
2016-05-10_03:34:50 1462844090 0x8; 27 rTX 8
2016-05-10_03:34:51 1462844091 0x7; 27 rTX 9
2016-05-10_03:34:53 1462844093 0x8; 27 rTX 9
2016-05-10_03:34:56 1462844096 0x3; 26 rTX 10
2016-05-10_03:34:59 1462844099 0x7; 27 rTX 10
2016-05-10_03:35:00 1462844100 0x8; 27 rTX 10
2016-05-10_03:35:07 1462844107 0x3; 26 rTXERR
2016-05-10_03:35:13 1462844113 0x7; 27 rTXERR
2016-05-10_03:35:15 1462844115 0x8; 27 rTXERR
2016-05-10_03:36:42 1462844202 0x3; 27 rTX 0
2016-05-10_03:36:42 1462844202 0x3; 27 rTX 1
2016-05-10_03:36:42 1462844202 0x3; 27 rTX 2
2016-05-10_03:36:42 1462844202 0x3; 27 rTX 3
2016-05-10_03:36:42 1462844202 0x3; 27 rTX 4
2016-05-10_03:36:42 1462844202 0x3; 27 rTX 5
2016-05-10_03:36:43 1462844203 0x3; 27 rTX 6
2016-05-10_03:36:43 1462844203 0x4; 27 rTX 0
2016-05-10_03:36:43 1462844203 0x3; 27 rTX 7
2016-05-10_03:36:45 1462844205 0x3; 27 rTX 8
2016-05-10_03:36:46 1462844206 0x7; 28 rTX 0
2016-05-10_03:36:46 1462844206 0x7; 28 rTX 1
2016-05-10_03:36:46 1462844206 0x7; 28 rTX 2
2016-05-10_03:36:46 1462844206 0x7; 28 rTX 3
2016-05-10_03:36:46 1462844206 0x7; 28 rTX 4
2016-05-10_03:36:46 1462844206 0x7; 28 rTX 5
2016-05-10_03:36:47 1462844207 0x7; 28 rTX 6
2016-05-10_03:36:47 1462844207 0x8; 28 rTX 0
2016-05-10_03:36:47 1462844207 0x8; 28 rTX 1
2016-05-10_03:36:47 1462844207 0x8; 28 rTX 2
2016-05-10_03:36:47 1462844207 0x8; 28 rTX 3
2016-05-10_03:36:47 1462844207 0x3; 27 rTX 9
2016-05-10_03:36:47 1462844207 0x8; 28 rTX 4
2016-05-10_03:36:47 1462844207 0x8; 28 rTX 5
2016-05-10_03:36:47 1462844207 0x7; 28 rTX 7
2016-05-10_03:36:48 1462844208 0x8; 28 rTX 6
2016-05-10_03:36:48 1462844208 0x8; 28 rTX 7
2016-05-10_03:36:49 1462844209 0x7; 28 rTX 8
2016-05-10_03:36:50 1462844210 0x8; 28 rTX 8
2016-05-10_03:36:51 1462844211 0x7; 28 rTX 9
2016-05-10_03:36:53 1462844213 0x3; 27 rTX 10
2016-05-10_03:36:54 1462844214 0x8; 28 rTX 9
2016-05-10_03:36:59 1462844219 0x7; 28 rTX 10
2016-05-10_03:37:00 1462844220 0x8; 28 rTX 10
2016-05-10_03:37:05 1462844225 0x3; 27 rTXERR
2016-05-10_03:37:08 1462844228 0x7; 28 rTXERR
2016-05-10_03:37:13 1462844233 0x8; 28 rTXERR
